boazodoalloláhka	532.0000
2014	532.0000
jahkásaččat	531.0000
vearru	530.5000
joatkkaoahpahus	529.5000
jurdda	527.0000
miellahttu	527.0000
reaidu	527.0000
50	525.0000
konvenšuvdnaguovlu	524.0000
árktalaš	523.0000
rehkenastit	520.5000
duovdda	519.0000
buohtastahttit	518.0000
seminára	518.0000
čakčat	517.0000
Porsáŋgu	515.0000
gárvvistit	515.0000
ságastallan	514.8333
guollebivdu	514.5000
odne	514.0000
bálká	514.0000
iskkadeapmi	513.2500
siseana	511.0000
soahti	510.8333
bealis	510.0000
statistihkka	510.0000
oastit	509.5000
ruonas	508.5000
ássan	507.0000
várra	506.0000
máhttolokten	506.0000
oahpahusláhka	504.0000
digaštallat	504.0000
dohkkeheapmi	503.6667
cegget	503.5000
50_%	502.0000
geavahus	501.0000
ávnnas	498.0000
arkiiva	497.5000
ruošša	497.5000
čalmmustahttit	497.0000
vuolláičállit	495.5000
oahpahit	494.9333
maŋŋil	494.0000
čáhci	492.5000
gárgedit	491.0000
m	490.5000
oahci	490.0000
dáhpáhus	489.0000
ođasmahttit	488.6667
váldot	487.5000
25	487.0000
duhtavaš	486.0000
vástádus	484.0000
njuolga	483.5000
ohcci	483.5000
dannego	483.0000
buhtadus	483.0000
sadjái	482.5000
lotnolasealáhus	482.2500
foanda	482.0000
deaddu	481.0000
fátmmastit	481.0000
cealkka	481.0000
dálkkádat	480.0000
NOU	480.0000
oččodit	479.3333
regiovdna	479.0000
almmuheapmi	477.0000
ássanguovlu	477.0000
kártet	477.0000
ovddasvástideaddji	477.0000
geasseguohtun	477.0000
ovttastahttit	476.6667
jurddašit	476.5000
maŋimuš	475.5000
diekkár	475.0000
vuosttas	475.0000
guorahallan	475.0000
gaskaoapmi	474.5000
dutkat	474.0000
riggodat	474.0000
julggaštus	474.0000
]	474.0000
Keskitalo	474.0000
goitge	473.0000
ovddit	472.0000
[	472.0000
dálvi	471.5000
ceavzil	470.0000
giđđat	469.0000
boazosápmelaš	469.0000
dearvvasvuohta	467.3333
nagodit	467.0000
dulkot	466.1667
sullasaš	466.0000
kantuvra	465.8333
guhká	464.5000
28	464.0000
festivála	463.5000
dehe	463.0000
gártat	463.0000
geográfalaš	462.5000
mearrasápmi	462.5000
universitehta	462.0000
’	462.0000
mátkeealáhus	461.5000
tlf	461.0000
čadnot	460.0000
rusttet	458.0000
buorri	457.0000
teáhter	456.0000
ipmárdus	454.0000
mánáidsuodjalus	453.5000
álggaheapmi	453.5000
ohcanvuđot	453.0000
Davvi-Trøndeláhka	451.0000
áimmahuššat	451.0000
vuogádat	450.0000
sohkabealli	449.5000
arena	449.0000
ruoktu	448.5000
davviguovlu	448.5000
plánen	448.1667
geassit	447.8333
gaskavuohta	446.0000
sávvat	446.0000
vuotnaguovlu	446.0000
gaska	445.5000
fievrridit	445.5000
Davvi-Norga	445.5000
dálveguohtun	445.0000
várri	443.5000
1998	443.0000
Sámi_vuoigatvuođalávdegoddi	442.0000
nákca	441.0000
telefovdna	441.0000
hábmen	440.5000
doalut	440.0000
Divttasvuotna	440.0000
oanehaš	439.0000
ovdalaš	439.0000
boktit	439.0000
datte	439.0000
dii	439.0000
čálihit	438.6667
bovdet	438.0000
sámepolitihkalaš	437.5000
aktiivvalaččat	437.0000
nohkat	436.5000
boahtu	436.1667
ráđđeaddi	436.0000
mill	436.0000
čielggadus	436.0000
forum	436.0000
álbmotrievttálaš	435.0000
19	434.0000
ovddeš	433.0000
miljon	433.0000
boraspire	432.8333
vuovdin	432.6667
stuorradiggedieđáhus	432.5000
muohta	432.0000
seamma_ládje	431.0000
ekonomiija	430.5000
boazodoallošiehtadus	430.0000
rievttálaš	430.0000
mielddus	430.0000
measta	429.0000
sámediggepresideanta	429.0000
pedagogalaš	429.0000
proseanta	428.0000
lullisámegiella	428.0000
vuollai	427.0000
31	427.0000
beroškeahttá	427.0000
ráva	427.0000
investeren	426.6667
eallin	426.0000
hehttet	425.0000
čázádat	425.0000
doallu	424.0000
váilevaš	424.0000
vuos	423.0000
rabas	423.0000
giellaráđđi	423.0000
jienasteapmi	423.0000
olahusjoavku	422.0000
huksenláhka	421.6667
dáppe	421.0000
e-poasta	421.0000
ovddalgihtii	420.0000
rievdadeapmi	419.5000
gaskajohtolat	418.0000
ávkkálaš	418.0000
gávpot	418.0000
urta	417.0000
luossa	417.0000
čálalaččat	416.0000
láhkaevttohus	416.0000
almmatge	415.0000
seammás_go	415.0000
gaskkusteapmi	415.0000
juksat	414.0000
dáiddár	413.5000
