Apotekergata+N+Prop+Sem/Plc	Apotekergt	ˈɑ.po.tˌe.ker#gh
Heaikkavahkku+Sem/Time+N+Der/viđá+Adv	Heaikkavahkkoviđá	hˈeæjç.kɑ#vˌɑhː.ko»vˌi.ðɑː
Heaikkavahkku+Sem/Time+N+Ess	Heaikkavahkkun	hˈeæjç.kɑ#vˌɑhː.kun
Heaikkavahkku+Sem/Time+N+Pl+Nom+PxSg3	Heaikkavahkkuidis	hˈeæjç.kɑ#vˌɑhː.kuj.dis
Heaikkavahkku+Sem/Time+N+Sg+Loc	Heaikkavahkkus	hˈeæjç.kɑ#vˌɑhː.kus
Hosianna+Interj	Hosianna	hˈo.si.ˌɑn.nɑ
Konsešuvdnaeaktuduvvon+A+Attr	Konsešuvdnaeaktuduvvon	khˈonː.se.ʃˌuβː.tnɑ#ˌeækː.htu.dˌuv.von
Konsešuvdnaeaktuduvvon+A+Pl+Nom	Konsešuvdnaeaktuduvvon	khˈonː.se.ʃˌuβː.tnɑ#ˌeækː.htu.dˌuv.von
Konsešuvdnaeaktuduvvon+A+Sg+Nom	Konsešuvdnaeaktuduvvon	khˈonː.se.ʃˌuβː.tnɑ#ˌeækː.htu.dˌuv.von
Luciabeaivi+Sem/Time+N+Pl+Com	Luciabeivviiguin	lˈu.tsi.ɑ#pˌejv.vij.gujn
Luciabeaivi+Sem/Time+N+Pl+Gen	Luciabeivviid	lˈu.tsi.ɑ#pˌejv.vijh
Luciabeaivi+Sem/Time+N+Pl+Loc+PxPl1	Luciabeivviineamet	lˈu.tsi.ɑ#pˌejv.vij.nˌĕæ.meh
Luciabeaivi+Sem/Time+N+Pl+Loc	Luciabeivviin	lˈu.tsi.ɑ#pˌejv.vijn
Luciabeaivi+Sem/Time+N+Sg+Com+PxDu3	Luciabeivviineaskka	lˈu.tsi.ɑ#pˌejv.vij.nˌeæs.kɑ
Luciabeaivi+Sem/Time+N+Sg+Com+PxPl3	Luciabeivviineaset	lˈu.tsi.ɑ#pˌejv.vij.nˌĕæ.seh
Luciabeaivi+Sem/Time+N+Sg+Com+PxSg1	Luciabeivviinan	lˈu.tsi.ɑ#pˌejv.vij.nɑn
Luciabeaivi+Sem/Time+N+Ess+PxSg3	Luciabeaivinis	lˈu.tsi.ɑ#pˌĕæjː.vi.nis
Luciabeaivi+Sem/Time+N+Sg+Ill	Luciabeaivái	lˈu.tsi.ɑ#pˌĕæjː.vɑːj
Luciabeaivi+Sem/Time+N+Der/huvva+V+IV+VAbess	Luciabeaivvehuvahaga	lˈu.tsi.ɑ#pˌĕæjv.ve»hˌu.vɑ.hˌɑ.gɑ
Luciabeaivi+Sem/Time+N+Der/huvva+V+IV+PrfPrc	Luciabeaivvehuvvan	lˈu.tsi.ɑ#pˌĕæjv.ve»hˌuv.vɑn
Luciabeaivi+Sem/Time+N+Pl+Nom	Luciabeaivvit	lˈu.tsi.ɑ#pˌeæjv.vih
Luciabeaivi+Sem/Time+N+Sg+Loc	Luciabeaivvis	lˈu.tsi.ɑ#pˌeæjv.vis
Luciabeaivi+Sem/Time+N+Der/heapmi+A+Comp+Attr	Luciabeaivvihat	lˈu.tsi.ɑ#pˌeæjv.vi»hɑh
Luciabeaivi+Sem/Time+N+Sg+Acc+PxDu2	Luciabeaivváde	lˈu.tsi.ɑ#pˌeæjv.vɑː.de
Luciabeaivi+Sem/Time+N+Der/laš+A+Ess	Luciabeaivválažžan	lˈu.tsi.ɑ#pˌeæjv.vɑː»lˌɑdː.tʃɑn
Luciabeaivi+Sem/Time+N+Der/laš+A+AttrCmp+Der/heakkat+A+Der/vuohta+N+Sg+Ill	Luciabeaivválašheakkatvuhtii	lˈu.tsi.ɑ#pˌeæjv.vɑː»lɑʃ»hˌeæk.kɑh»vˌuh.tij
Lávrrasvahkku+Sem/Time+N+Der/laš+A+Superl+Ess	Lávrrasvahkolamosin	lˈɑːβr.rɑs#vˌɑh.ko»lˌɑ.mo.sin
Lávrrasvahkku+Sem/Time+N+Pl+Nom+PxSg3	Lávrrasvahkuidis	lˈɑːβr.rɑs#vˌɑh.kuj.dis
Lávrrasvahkku+Sem/Time+N+Pl+Nom	Lávrrasvahkut	lˈɑːβr.rɑs#vˌɑhː.kuh
Lávrrasvahkku+Sem/Time+N+Sg+Com+PxDu3	Lávrrasvahkuineaskka	lˈɑːβr.rɑs#vˌɑh.kuj.nˌeæs.kɑ
Lávrrasvahkku+Sem/Time+N+Der/heapmi+A+Comp+Attr	Lávrrasvahkuhat	lˈɑːβr.rɑs#vˌɑh.ku»hɑh
Lávrrasvahkku+Sem/Time+N+Sg+Acc+PxDu1	Lávrrasvahkkome	lˈɑːβr.rɑs#vˌɑhː.ko.me
Lávrrasvahkku+Sem/Time+N+Sg+Acc+PxPl1	Lávrrasvahkkomet	lˈɑːβr.rɑs#vˌɑhː.ko.meh
Lávrrasvahkku+Sem/Time+N+Sg+Nom+PxPl1	Lávrrasvahkkomet	lˈɑːβr.rɑs#vˌɑhː.ko.meh
Lávrrasvahkku+Sem/Time+N+Der/viđá+Adv	Lávrrasvahkkoviđá	lˈɑːβr.rɑs#vˌɑhː.ko»vˌi.ðɑː
Lávrrasvahkku+Sem/Time+N+Pl+Nom	Lávrrasvahkkut	lˈɑːβr.rɑs#vˌɑhː.kuh
Lávrrasvahkku+Sem/Time+N+Sg+Gen+PxDu3	Lávrrasvahkkuska	lˈɑːβr.rɑs#vˌɑhː.kus.kɑ
Lávrrasvahkku+Sem/Time+N+Sg+Gen	Lávrrasvahkku	lˈɑːβr.rɑs#vˌɑhː.ku
Lávrrasvahkku+Sem/Time+N+Sg+Nom	Lávrrasvahkku	lˈɑːβr.rɑs#vˌɑhː.ku
Lávrrasvahkku+Sem/Time+N+Sg+Ill	Lávrrasvahkkui	lˈɑːβr.rɑs#vˌɑhː.kuj
Mihkalmeassu+G3+Sem/Event+N+Sg+Ill+PxSg3	Mihkalmessosis	mˈihː.kɑːl#mˌes.so.sis
Mihkalmeassu+G3+Sem/Event+N+Sg+Nom+PxPl2	Mihkalmessodet	mˈihː.kɑːl#mˌes.so.deh
Mihkalmeassu+G3+Sem/Event+N+Der/laš+A+Superl+Pl+Gen	Mihkalmessolamosiid	mˈihː.kɑːl#mˌes.so»lˌɑ.mo.sijh
Mihkalmeassu+G3+Sem/Event+N+Der/laš+A+Attr+Der/vuohta+N+Sg+Ill	Mihkalmessolašvuhtii	mˈihː.kɑːl#mˌes.so»lɑʃ»vˌuh.tij
Mihkalmeassu+G3+Sem/Event+N+Sg+Ill	Mihkalmessui	mˈihː.kɑːl#mˌes.suj
Mihkalmeassu+G3+Sem/Event+N+Der/viđá+Adv	Mihkalmeassoviđá	mˈihː.kɑːl#mˌĕæs.so»vˌi.ðɑː
Mihkalmeassu+G3+Sem/Event+N+Sg+Com+PxDu2	Mihkalmeassuineatte	mˈihː.kɑːl#mˌeæs.suj.nˌĕæt.te
Mihkalmasbasit+N+Der/huhtti+V+TV+Der/NomAg+N+Sg+Gen+PxPl3	Mihkalmasbasehuhttiset	mˈihː.kɑːlə.mɑs#pˌɑ.se»hˌuhː.ti»seh
Mihkalmasbasit+N+Pl+Ill+PxDu3	Mihkalmasbasiidasaska	mˈihː.kɑːlə.mɑs#pˌɑ.sij.dˌɑ.sɑs.kɑ
Mihkalmasbasit+N+Ess	Mihkalmasbassin	mˈihː.kɑːlə.mɑs#pˌɑsː.sin
Mihkalmasbeaivi+N+Sg+Com+PxDu1	Mihkalmasbeivviineame	mˈihː.kɑːlə.mɑs#pˌejv.vij.nˌĕæ.me
Mihkalmasbeaivi+N+Sg+Com+PxSg2	Mihkalmasbeivviinat	mˈihː.kɑːlə.mɑs#pˌejv.vij.nɑh
Mihkalmasbeaivi+N+Der/viđá+Adv	Mihkalmasbeaiveviđá	mˈihː.kɑːlə.mɑs#pˌĕæjː.ve»vˌi.ðɑː
Mihkalmasvahkku+Sem/Time+N+Sg+Acc+PxPl2	Mihkalmasvahkodet	mˈihː.kɑːlə.mɑs#vˌɑh.ko.deh
Mihkalmasvahkku+Sem/Time+N+Sg+Gen+PxSg2	Mihkalmasvahkot	mˈihː.kɑːlə.mɑs#vˌɑh.koh
Mihkalmasvahkku+Sem/Time+N+Der/Dimin+N+Sg+Nom	Mihkalmasvahkoš	mˈihː.kɑːlə.mɑs#vˌɑh.ko»ʃ
Máhtebeaivi+Sem/Time+N+Pl+Acc+PxDu1	Máhtebeivviideame	mˈɑːh.te#pˌejv.vij.dˌĕæ.me
Máhtebeaivi+Sem/Time+N+Pl+Com+PxDu3	Máhtebeivviideaskkaguin	mˈɑːh.te#pˌejv.vij.dˌeæs.kɑ.gujn
Máhtebeaivi+Sem/Time+N+Pl+Com	Máhtebeivviiguin	mˈɑːh.te#pˌejv.vij.gujn
Máhtebeaivi+Sem/Time+N+Der/viđá+Adv	Máhtebeaiveviđá	mˈɑːh.te#pˌĕæjː.ve»vˌi.ðɑː
Máhtemeasvahkku+Sem/Time+N+Sg+Gen+PxPl2	Máhtemeasvahkodet	mˈɑːh.te#meæs#vˌɑh.ko.deh
Máhtemeasvahkku+Sem/Time+N+Sg+Nom+PxDu1	Máhtemeasvahkkome	mˈɑːh.te#meæs#vˌɑhː.ko.me
Máhtemeasvahkku+Sem/Time+N+Der/viđá+Adv	Máhtemeasvahkkoviđá	mˈɑːh.te#meæs#vˌɑhː.ko»vˌi.ðɑː
Máhtemeasvahkku+Sem/Time+N+Pl+Nom+PxPl1	Máhtemeasvahkkuideamet	mˈɑːh.te#meæs#vˌɑhː.kuj.dˌĕæ.meh
Máhtemeasvahkku+Sem/Time+N+Sg+Ill	Máhtemeasvahkkui	mˈɑːh.te#meæs#vˌɑhː.kuj
Máhtemesvahkku+Sem/Time+N+Der/heapmi+A+Comp+Sg+Acc	Máhtemesvahkuhabbo	mˈɑːh.te#mes#vˌɑh.ku»hˌɑbː.po
Máhtevahkku+Sem/Time+N+Der/laš+A+Sg+Nom	Máhtevahkolaš	mˈɑːh.te#vˌɑh.ko»lɑʃ
Máhtevahkku+Sem/Time+N+Sg+Gen+PxDu3	Máhtevahkuska	mˈɑːh.te#vˌɑhː.kus.kɑ
Máhtevahkku+Sem/Time+N+Der/heapmi+A+Attr+Der/vuohta+N+Sg+Acc	Máhtevahkuhisvuođa	mˈɑːh.te#vˌɑh.ku»his»vˌuo.ðɑ
Márggasvahkku+Sem/Time+N+Pl+Nom	Márggasvahkut	mˈɑːrk.kɑs#vˌɑhː.kuh
Márggasvahkku+Sem/Time+N+Der/huhtti+V+TV+Der/PassS+V+IV+Ind+Prt+Sg3	Márggasvahkuhuhttui	mˈɑːrk.kɑs#vˌɑh.ku»hˌuhː.tu»i
Márggasvahkku+Sem/Time+N+Pl+Nom	Márggasvahkkut	mˈɑːrk.kɑs#vˌɑhː.kuh
Márggasvahkku+Sem/Time+N+Sg+Nom	Márggasvahkku	mˈɑːrk.kɑs#vˌɑhː.ku
Márjjavahkku+Sem/Time+N+Der/Dimin+N+Sg+Nom	Márjjavahkkoš	mˈɑːrj.jɑ#vˌɑhː.ko»ʃ
Márjjavahkku+Sem/Time+N+Der/Dimin+N+Ess	Márjjavahkkožin	mˈɑːrj.jɑ#vˌɑhː.ko»dʃin
Norggaáittardeaddji+N+NomAg+Pl+Acc+PxPl1	Norggaáittardeddjiideamet	nˈorkː.kɑː#ˌɑːjç.tɑr.dˌeɟː.cij.dˌĕæ.meh
Norggaáittardeaddji+N+NomAg+Pl+Com	Norggaáittardeddjiiguin	nˈorkː.kɑː#ˌɑːjç.tɑr.dˌeɟː.cij.gujn
Norggaáittardeaddji+N+NomAg+Pl+Gen+PxSg2	Norggaáittardeddjiidat	nˈorkː.kɑː#ˌɑːjç.tɑr.dˌeɟː.cij.dɑh
Norggaáittardeaddji+N+NomAg+Pl+Loc+PxSg3	Norggaáittardeddjiinis	nˈorkː.kɑː#ˌɑːjç.tɑr.dˌeɟː.cij.nis
Norggaáittardeaddji+N+NomAg+Sg+Com+PxDu1	Norggaáittardeddjiineame	nˈorkː.kɑː#ˌɑːjç.tɑr.dˌeɟː.cij.nˌĕæ.me
Norggaáittardeaddji+N+NomAg+Sg+Com+PxDu2	Norggaáittardeddjiineatte	nˈorkː.kɑː#ˌɑːjç.tɑr.dˌeɟː.cij.nˌĕæt.te
Norggaáittardeaddji+N+NomAg+Sg+Com+PxPl2	Norggaáittardeddjiineattet	nˈorkː.kɑː#ˌɑːjç.tɑr.dˌeɟː.cij.nˌĕæt.teh
Norggaáittardeaddji+N+NomAg+Sg+Com+PxPl3	Norggaáittardeddjiineaset	nˈorkː.kɑː#ˌɑːjç.tɑr.dˌeɟː.cij.nˌĕæ.seh
Norggaáittardeaddji+N+NomAg+Sg+Com+PxSg1	Norggaáittardeddjiinan	nˈorkː.kɑː#ˌɑːjç.tɑr.dˌeɟː.cij.nɑn
Norggaáittardeaddji+N+NomAg+Sg+Com+PxSg2	Norggaáittardeddjiinat	nˈorkː.kɑː#ˌɑːjç.tɑr.dˌeɟː.cij.nɑh
Norggaáittardeaddji+N+NomAg+Sg+Com	Norggaáittardeddjiin	nˈorkː.kɑː#ˌɑːjç.tɑr.dˌeɟː.cijn
Norggaáittardeaddji+N+NomAg+Sg+Gen	Norggaáittardeaddje	nˈorkː.kɑː#ˌɑːjç.tɑr.dˌĕæɟː.ce
Norggaáittardeaddji+N+NomAg+Der/viđá+Adv	Norggaáittardeaddjeviđá	nˈorkː.kɑː#ˌɑːjç.tɑr.dˌĕæɟː.ce»vˌi.ðɑː
Norggaáittardeaddji+N+Sg+Gen+NomAg+PxPl1	Norggaáittardeaddjámet	nˈorkː.kɑː#ˌɑːjç.tɑr.dˌĕæɟː.cɑː.meh
Norggaáittardeaddji+N+Sg+Nom+NomAg+PxPl2	Norggaáittardeaddjádet	nˈorkː.kɑː#ˌɑːjç.tɑr.dˌĕæɟː.cɑː.deh
Norggaáittardeaddji+N+Sg+Nom+NomAg+PxSg1	Norggaáittardeaddján	nˈorkː.kɑː#ˌɑːjç.tɑr.dˌĕæɟː.cɑːn
Nuvttevahkku+Sem/Time+N+Sg+Acc+PxDu2	Nuvttevahkode	nˈuβɸ.te#vˌɑh.ko.de
Nuvttevahkku+Sem/Time+N+Sg+Acc+PxPl2	Nuvttevahkodet	nˈuβɸ.te#vˌɑh.ko.deh
Nuvttevahkku+Sem/Time+N+Sg+Gen+PxDu2	Nuvttevahkode	nˈuβɸ.te#vˌɑh.ko.de
Nuvttevahkku+Sem/Time+N+Der/Dimin+N+Sg+Nom	Nuvttevahkoš	nˈuβɸ.te#vˌɑh.ko»ʃ
Nuvttevahkku+Sem/Time+N+Der/Dimin+N+Der/viđá+Adv	Nuvttevahkošviđá	nˈuβɸ.te#vˌɑh.ko»ʃ»vˌi.ðɑː
Nuvttevahkku+Sem/Time+N+Der/Dimin+N+Ess	Nuvttevahkožin	nˈuβɸ.te#vˌɑh.ko»dʃin
Nuvttevahkku+Sem/Time+N+Pl+Nom	Nuvttevahkut	nˈuβɸ.te#vˌɑhː.kuh
Nuvttevahkku+Sem/Time+N+Sg+Gen+PxPl3	Nuvttevahkuset	nˈuβɸ.te#vˌɑh.ku.seh
Nuvttevahkku+Sem/Time+N+Sg+Com+PxSg2	Nuvttevahkuinat	nˈuβɸ.te#vˌɑh.kuj.nɑh
Nuvttevahkku+Sem/Time+N+Sg+Nom+PxDu2	Nuvttevahkkode	nˈuβɸ.te#vˌɑhː.ko.de
Nuvttevahkku+Sem/Time+N+Der/laš+A+Comp+Attr	Nuvttevahkkolut	nˈuβɸ.te#vˌɑhː.ko»luh
Nuvttevahkku+Sem/Time+N+Der/laš+A+Der/vuohta+N+Ess+PxPl1	Nuvttevahkkolašvuohtaneamet	nˈuβɸ.te#vˌɑhː.ko»lɑʃ»vˌuoh.tɑ.nˌĕæ.meh
Nuvttevahkku+Sem/Time+N+Der/viđá+Adv	Nuvttevahkkoviđá	nˈuβɸ.te#vˌɑhː.ko»vˌi.ðɑː
Nuvttevahkku+Sem/Time+N+Ess+PxPl1	Nuvttevahkkuneamet	nˈuβɸ.te#vˌɑhː.ku.nˌĕæ.meh
Nuvttevahkku+Sem/Time+N+Pl+Nom	Nuvttevahkkut	nˈuβɸ.te#vˌɑhː.kuh
Nuvttevahkku+Sem/Time+N+Pl+Gen+PxSg1	Nuvttevahkkuidan	nˈuβɸ.te#vˌɑhː.kuj.dɑn
Simmonvahkku+Sem/Time+N+Sg+Acc+PxPl2	Simmonvahkodet	sˈim.mon#vˌɑh.ko.deh
Simmonvahkku+Sem/Time+N+Der/laš+A+Comp+Sg+Nom	Simmonvahkolut	sˈim.mon#vˌɑh.ko»luh
Simmonvahkku+Sem/Time+N+Pl+Nom	Simmonvahkut	sˈim.mon#vˌɑhː.kuh
Simmonvahkku+Sem/Time+N+Sg+Acc+PxDu1	Simmonvahkkome	sˈim.mon#vˌɑhː.ko.me
Simmonvahkku+Sem/Time+N+Der/viđá+Adv	Simmonvahkkoviđá	sˈim.mon#vˌɑhː.ko»vˌi.ðɑː
St.dieđáhus+N+Pl+Nom	St.dieđáhusat	st.die.ðɑː.hu.sɑh
St.dieđáhus+N+Sg+Acc	St.dieđáhusa	st.die.ðɑː.hu.sɑ
St.dieđáhus+N+Sg+Com+PxPl2	St.dieđáhusaineattet	st.die.ðɑː.hu.sɑj.nĕæt.teh
St.dieđáhus+N+Sg+Com+PxPl3	St.dieđáhusaineaset	st.die.ðɑː.hu.sɑj.nĕæ.seh
St.dieđáhus+N+Sg+Com+PxSg1	St.dieđáhusainan	st.die.ðɑː.hu.sɑj.nɑn
St.dieđáhus+N+Der/Dimin+N+Sg+Ill+PxDu3	St.dieđáhusažasaska	st.die.ðɑː.hu.sɑ»dʃˌɑ.sɑs.kɑ
St.dieđáhus+N+Sg+Nom	St.dieđáhus	st.die.ðɑː.hus
St.dieđáhus+N+Sg+Ill	St.dieđáhussii	st.die.ðɑː.hus.sij
Suomaáittardeaddji+N+NomAg+Pl+Nom+PxDu2	Suomaáittardeddjiideatte	sˈuo.mɑ#ˌɑːjç.tɑr.dˌeɟː.cij.dˌĕæt.te
Suomaáittardeaddji+N+NomAg+Sg+Com+PxDu2	Suomaáittardeddjiineatte	sˈuo.mɑ#ˌɑːjç.tɑr.dˌeɟː.cij.nˌĕæt.te
Suomaáittardeaddji+N+NomAg+Sg+Com+PxSg3	Suomaáittardeddjiinis	sˈuo.mɑ#ˌɑːjç.tɑr.dˌeɟː.cij.nis
Suomaáittardeaddji+N+NomAg+Sg+Com	Suomaáittardeddjiin	sˈuo.mɑ#ˌɑːjç.tɑr.dˌeɟː.cijn
Suomaáittardeaddji+N+NomAg+Sg+Gen	Suomaáittardeaddje	sˈuo.mɑ#ˌɑːjç.tɑr.dˌĕæɟː.ce
Suomaáittardeaddji+N+NomAg+Ess+PxDu1	Suomaáittardeaddjineame	sˈuo.mɑ#ˌɑːjç.tɑr.dˌĕæɟː.ci.nˌĕæ.me
Suomaáittardeaddji+N+NomAg+Sg+Ill	Suomaáittardeaddjái	sˈuo.mɑ#ˌɑːjç.tɑr.dˌĕæɟː.cɑːj
Suomaáittardeaddji+N+Sg+Ill+NomAg+PxDu2	Suomaáittardeaddjáseatte	sˈuo.mɑ#ˌɑːjç.tɑr.dˌĕæɟː.cɑː.sˌĕæt.te
Urbanbeaivi+Sem/Time+N+Pl+Acc+PxPl1	Urbanbeivviideamet	ˈurə.pɑn#pˌejv.vij.dˌĕæ.meh
Urbanbeaivi+Sem/Time+N+Pl+Com	Urbanbeivviiguin	ˈurə.pɑn#pˌejv.vij.gujn
Urbanbeaivi+Sem/Time+N+Pl+Ill+PxDu1	Urbanbeivviidasame	ˈurə.pɑn#pˌejv.vij.dˌɑ.sɑ.me
Urbanbeaivi+Sem/Time+N+Pl+Loc	Urbanbeivviin	ˈurə.pɑn#pˌejv.vijn
Urbanbeaivi+Sem/Time+N+Pl+Nom+PxDu3	Urbanbeivviideaskka	ˈurə.pɑn#pˌejv.vij.dˌeæs.kɑ
Urbanbeaivi+Sem/Time+N+Sg+Com+PxDu1	Urbanbeivviineame	ˈurə.pɑn#pˌejv.vij.nˌĕæ.me
Urbanbeaivi+Sem/Time+N+Sg+Com+PxDu2	Urbanbeivviineatte	ˈurə.pɑn#pˌejv.vij.nˌĕæt.te
Urbanbeaivi+Sem/Time+N+Sg+Com+PxPl1	Urbanbeivviineamet	ˈurə.pɑn#pˌejv.vij.nˌĕæ.meh
Urbanbeaivi+Sem/Time+N+Sg+Com+PxPl3	Urbanbeivviineaset	ˈurə.pɑn#pˌejv.vij.nˌĕæ.seh
Urbanbeaivi+Sem/Time+N+Sg+Com+PxSg2	Urbanbeivviinat	ˈurə.pɑn#pˌejv.vij.nɑh
Urbanbeaivi+Sem/Time+N+Sg+Ill+PxPl2	Urbanbeaiváseattet	ˈurə.pɑn#pˌĕæjː.vɑː.sˌĕæt.teh
Urbanbeaivi+Sem/Time+N+Sg+Nom+PxDu2	Urbanbeaiváde	ˈurə.pɑn#pˌĕæjː.vɑː.de
Urbanbeaivi+Sem/Time+N+Der/huhtti+V+TV+Cond+Prs+Sg2	Urbanbeaivvehuhtálit	ˈurə.pɑn#pˌĕæjv.ve»hˌuhː.tɑː.lih
Urbanbeaivi+Sem/Time+N+Der/huhtti+V+TV+Ind+Prs+Sg2	Urbanbeaivvehuhtát	ˈurə.pɑn#pˌĕæjv.ve»hˌuhː.tɑːh
Urbanbeaivi+Sem/Time+N+Der/laš+A+Sg+Nom	Urbanbeaivválaš	ˈurə.pɑn#pˌeæjv.vɑː»lɑʃ
Urbánbeaivi+Sem/Time+N+Pl+Com	Urbánbeivviiguin	ˈurə.pɑːn#pˌejv.vij.gujn
Urbánbeaivi+Sem/Time+N+Pl+Gen+PxSg3	Urbánbeivviidis	ˈurə.pɑːn#pˌejv.vij.dis
Urbánbeaivi+Sem/Time+N+Pl+Ill	Urbánbeivviide	ˈurə.pɑːn#pˌejv.vij.de
Urbánbeaivi+Sem/Time+N+Pl+Loc+PxDu1	Urbánbeivviineame	ˈurə.pɑːn#pˌejv.vij.nˌĕæ.me
Urbánbeaivi+Sem/Time+N+Sg+Com+PxDu1	Urbánbeivviineame	ˈurə.pɑːn#pˌejv.vij.nˌĕæ.me
Urbánbeaivi+Sem/Time+N+Sg+Com+PxPl2	Urbánbeivviineattet	ˈurə.pɑːn#pˌejv.vij.nˌĕæt.teh
Urbánbeaivi+Sem/Time+N+Sg+Com+PxPl3	Urbánbeivviineaset	ˈurə.pɑːn#pˌejv.vij.nˌĕæ.seh
Urbánbeaivi+Sem/Time+N+Sg+Com+PxSg1	Urbánbeivviinan	ˈurə.pɑːn#pˌejv.vij.nɑn
Urbánbeaivi+Sem/Time+N+Sg+Com+PxSg2	Urbánbeivviinat	ˈurə.pɑːn#pˌejv.vij.nɑh
Urbánbeaivi+Sem/Time+N+Sg+Com+PxSg3	Urbánbeivviinis	ˈurə.pɑːn#pˌejv.vij.nis
Urbánbeaivi+Sem/Time+N+Der/viđá+Adv	Urbánbeaiveviđá	ˈurə.pɑːn#pˌĕæjː.ve»vˌi.ðɑː
Urbánbeaivi+Sem/Time+N+Sg+Nom	Urbánbeaivi	ˈurə.pɑːn#pˌĕæjː.vi
Urbánbeaivi+Sem/Time+N+Sg+Ill	Urbánbeaivái	ˈurə.pɑːn#pˌĕæjː.vɑːj
Urbánbeaivi+Sem/Time+N+Der/heapmi+A+Sg+Nom	Urbánbeaivviheapme	ˈurə.pɑːn#pˌeæjv.vi»hˌĕæp.me
Urbánbeaivi+Sem/Time+N+Sg+Gen+PxSg2	Urbánbeaivvát	ˈurə.pɑːn#pˌeæjv.vɑːh
Vullešvahkku+Sem/Time+N+Sg+Acc+PxDu2	Vullešvahkode	vˈul.leʃ#vˌɑh.ko.de
Vullešvahkku+Sem/Time+N+Sg+Acc+PxSg2	Vullešvahkot	vˈul.leʃ#vˌɑh.koh
Vullešvahkku+Sem/Time+N+Sg+Gen+PxSg2	Vullešvahkot	vˈul.leʃ#vˌɑh.koh
Vullešvahkku+Sem/Time+N+Der/Dimin+N+Ess	Vullešvahkožin	vˈul.leʃ#vˌɑh.ko»dʃin
Vullešvahkku+Sem/Time+N+Der/Dimin+N+Sg+Ill+PxSg3	Vullešvahkožasas	vˈul.leʃ#vˌɑh.ko»dʃˌɑ.sɑs
Vullešvahkku+Sem/Time+N+Pl+Ill+PxSg1	Vullešvahkuidasan	vˈul.leʃ#vˌɑh.kuj.dˌɑ.sɑn
Vullešvahkku+Sem/Time+N+Pl+Nom	Vullešvahkut	vˈul.leʃ#vˌɑhː.kuh
Vullešvahkku+Sem/Time+N+Sg+Acc+PxSg3	Vullešvahkus	vˈul.leʃ#vˌɑhː.kus
Vullešvahkku+Sem/Time+N+Sg+Gen+PxDu3	Vullešvahkuska	vˈul.leʃ#vˌɑhː.kus.kɑ
Vullešvahkku+Sem/Time+N+Sg+Com+PxPl2	Vullešvahkuineattet	vˈul.leʃ#vˌɑh.kuj.nˌĕæt.teh
Vullešvahkku+Sem/Time+N+Der/huvva+V+IV+Imprt+Pl1	Vullešvahkuhuvvut	vˈul.leʃ#vˌɑh.ku»hˌuvː.vuh
Vullešvahkku+Sem/Time+N+Sg+Nom+PxDu1	Vullešvahkkome	vˈul.leʃ#vˌɑhː.ko.me
Vullešvahkku+Sem/Time+N+Der/huhtti+V+TV+Imprt+Sg2	Vullešvahkkohuhte	vˈul.leʃ#vˌɑhː.ko»hˌuh.te
Vullešvahkku+Sem/Time+N+Der/huhtti+V+TV+VGen	Vullešvahkkohuhti	vˈul.leʃ#vˌɑhː.ko»hˌuhː.ti
Vullešvahkku+Sem/Time+N+Der/viđá+Adv	Vullešvahkkoviđá	vˈul.leʃ#vˌɑhː.ko»vˌi.ðɑː
Vullešvahkku+Sem/Time+N+Ess+PxSg2	Vullešvahkkunat	vˈul.leʃ#vˌɑhː.ku.nɑh
Vullešvahkku+Sem/Time+N+Ess	Vullešvahkkun	vˈul.leʃ#vˌɑhː.kun
Vullešvahkku+Sem/Time+N+Pl+Nom	Vullešvahkkut	vˈul.leʃ#vˌɑhː.kuh
Vullešvahkku+Sem/Time+N+Pl+Com	Vullešvahkkuiguin	vˈul.leʃ#vˌɑhː.kuj.gujn
Vullešvahkku+Sem/Time+N+Sg+Gen+PxPl3	Vullešvahkkuset	vˈul.leʃ#vˌɑhː.ku.seh
Vullešvahkku+Sem/Time+N+Sg+Nom	Vullešvahkku	vˈul.leʃ#vˌɑhː.ku
Vullešvahkku+Sem/Time+N+Sg+Ill	Vullešvahkkui	vˈul.leʃ#vˌɑhː.kuj
akšuvdna+N+Sg+Nom+PxDu3	akšuvdnaska	ˈɑkː.ʃuv.tnˌɑsː.kɑ
akšuvdna+N+Sg+Nom+PxPl3	akšuvdnaset	ˈɑkː.ʃuv.tnˌɑ.seh
akšuvdna+N+Sg+Nom+PxSg3	akšuvdnas	ˈɑkː.ʃuv.tnɑs
akšuvdna+N+Sg+Nom	akšuvdna	ˈɑkː.ʃuv.tnɑ
akšuvdna+N+Ess+PxDu1	akšuvdnaneame	ˈɑkː.ʃuv.tnˌɑ.nĕæ.me
akšuvdna+N+Ess+PxDu2	akšuvdnaneatte	ˈɑkː.ʃuv.tnˌɑ.nĕæt.te
akšuvdna+N+Ess+PxPl1	akšuvdnaneamet	ˈɑkː.ʃuv.tnˌɑ.nĕæ.meh
akšuvdna+N+Ess+PxSg2	akšuvdnanat	ˈɑkː.ʃuv.tnˌɑ.nɑh
akšuvdna+N+Ess+PxSg3	akšuvdnanis	ˈɑkː.ʃuv.tnˌɑ.nis
akšuvdna+N+Sg+Acc+PxDu1	akšuvdname	ˈɑkː.ʃuv.tnˌɑ.me
