Armstrong+N+Prop+Sem/Sur+Sg+Gen	Armstronga	ˈɑrm.stron.gɑ
effisieansa+N+Der/viđá+Adv	effisieansaviđá	ˈef.fi.sˌi.eæn.sɑ»vˌi.ðɑː
egoisttalašvuohta+N+Pl+Loc+PxDu3	egoisttalašvuođaineaskka	ˈeː.gojst.tˌɑ.lɑʃ.vˌuo.ðɑj.neæs.kɑ
ehket+V+IV+Ind+Prt+ConNeg	ehken	ˈeːh.ken
ehpel+N+Der/viđá+Adv	ehpelviđá	ˈeːh.pel»vˌi.ðɑː
eisseváldegeavat+N+Der/viđá+Adv	eisseváldegeavatviđá	ˈejs.se#vˌɑːlː.te#kˌeæ.vɑh»vˌi.ðɑː
ejakuleret+V+IV+Ind+Prt+Pl2	ejakuleriidet	ˈe.jɑː.kˌu.le.rˌij.deh
ekoturisma+N+Sg+Gen+PxSg2	ekoturismmat	ˈe.ko#thˌu.ris.mɑh
ekspireret+V+IV+VAbess	ekspirerehaga	ˈek.spi.rˌe.re.hˌɑ.gɑ
ekvaliserenapposišuvdna+N+Sg+Gen+PxPl1	ekvaliserenapposišuvdnamet	ˈek.vɑː.lˌi.se.ren#ˌɑp.po.sˌi.ʃuv.tnˌɑ.meh
elbotkkon+N+Der/viđá+Adv	elbotkkonviđá	ˈel#pˌotk.kon»vˌi.ðɑː
elrávdnjeatnu+N+Der/laš+A+Attr	elrávdnjeanolaš	ˈel#rˌɑːβː.tɲe#ˌɑ.no»lɑʃ
emblema+N+Sg+Ill	emblemii	ˈem.ble.mij
emišuvdna+N+Ess+PxPl1	emišuvdnaneamet	ˈe.mi.ʃˌuβː.tnɑ.nˌĕæ.meh
engašeret+V+TV+Der/PassL+V+IV+Ind+Prs+Pl2	engašerejuvvobehtet	ˈeŋŋ.kɑː.ʃˌe.re»j»ˌuv.vo.bˌeh.teh
epikriisa+N+Sg+Ill	epikriisii	ˈe.pi.krˌijː.sij
epos+N+Sg+Acc+PxDu1	eposeame	ˈe.po.sˌĕæ.me
erenoamáš+A+Pl+Ill	earenomážiidda	ˈĕæ.re.nˌo.mɑː.dʃˌijt.tɑ
espánnjalaš+A+Attr	espánnjalaš	ˈe.spɑːn.ɲˌɑ.lɑʃ
espánnjalaš+A+Sg+Nom	espánnjalaš	ˈe.spɑːn.ɲˌɑ.lɑʃ
espresso+N+Sg+Ill	espressui	ˈes.pres.suj
eufemisma+N+Pl+Nom	eufemismmat	ˈeu.fe.mˌis.mɑh
eufemisttalaš+A+AttrCmp+Der/šlájat+A+Pl+Nom	eufemisttalaššlájagat	ˈeu.fe.mˌis.tɑ.lɑʃ»ʃlˌɑː.jɑ.gɑh
eurosentralaš+A+Der/at+Adv	eurosentralaččat	ˈeu.ro#sˌent.rɑ.lˌɑt.tʃɑh
evro+N+Der/viđá+Adv	evroviđá	ˈeβː.ro»vˌi.ðɑː
eretorru+A+Attr	iretorru	ˈiː.reh#ˌor.ru
eretorru+A+Attr+Der/vuohta+N+Sg+Ill	iretorruvuhtii	ˈiː.reh#ˌor.ru»vˌuh.tij
eretorru+A+AttrCmp+Der/borat+A+Ess	iretorruboragin	ˈiː.reh#ˌor.ru»bˌo.rɑ.gin
eretorru+A+AttrCmp+Der/kultuvrrat+A+Sg+Nom	iretorrukultuvrrat	ˈiː.reh#ˌor.ru»kˌul.htuvr.rɑh
eretorru+A+AttrCmp+Der/kultuvrrat+A+Der/vuohta+N+Sg+Acc+PxSg2	iretorrukultuvrratvuođat	ˈiː.reh#ˌor.ru»kˌul.htuvr.rɑh»vˌuo.ðɑh
eretorru+A+AttrCmp+Der/uvssot+A+Sg+Nom	iretorruuvssot	ˈiː.reh#ˌor.ru»ˌuvs.soh
eretorru+A+Ess	iretorrun	ˈiː.reh#ˌor.run
eretorru+A+Pl+Gen	iretorruid	ˈiː.reh#ˌor.rujh
eretorru+A+Pl+Ill	iretorruide	ˈiː.reh#ˌor.ruj.de
eretorru+A+Pl+Nom	iretorrut	ˈiː.reh#ˌor.ruh
eretorru+A+Sg+Acc	iretorru	ˈiː.reh#ˌor.ru
eretorru+A+Sg+Gen	iretorru	ˈiː.reh#ˌor.ru
eretorru+A+Sg+Nom	iretorru	ˈiː.reh#ˌor.ru
eretorru+A+Sg+Com	iretorruin	ˈiː.reh#ˌor.rujn
eretorru+A+Sg+Ill	iretorrui	ˈiː.reh#ˌor.ruj
eretorru+A+Sg+Loc	iretorrus	ˈiː.reh#ˌor.rus
eretorru+A+Der/viđá+Adv	iretorruviđá	ˈiː.reh#ˌor.ru»vˌi.ðɑː
eretorru+A+Der/vuohta+N+Der/viđá+Adv	iretorruvuohtaviđá	ˈiː.reh#ˌor.ru»vˌuoh.tɑ»vˌi.ðɑː
fanca+N+Sg+Ill	fancii	fˈɑnː.n̥tsij
fatnat+V+IV+Cond+Prs+Pl1	fanaleimmet	fˈɑ.nɑː.lˌejm.meh
fatnat+V+IV+Der/NomAg+N+Der/viđá+Adv	fadnaviđá	fˈɑd.nɑː»vˌi.ðɑː
feaila+N+Der/viđá+Adv	feailaviđá	fˈĕæjː.lɑ»vˌi.ðɑː
feber+N+Der/viđá+Adv	feberviđá	fˈeː.ber»vˌi.ðɑː
federašuvdna+N+Ess+PxPl1	federašuvdnaneamet	fˈe.de.rˌɑ.ʃuv.tnˌɑ.nĕæ.meh
federašuvdna+N+Sg+Com+PxPl2	federašuvnnaineattet	fˈe.de.rˌɑ.ʃuvn.nˌɑj.nĕæt.teh
fennougristakongreassa+N+Sg+Ill	fennougristakongressii	fˈen.no.ˌug.ris.tɑ#khˌon.gres.sij
fenrihkka+N+Sg+Loc	fenrihkas	fˈen.rih.kɑs
festiválaoasseváldi+N+NomAg+Pl+Com+PxDu3	festiválaoasseváldiideaskkaguin	fˈesː.ti.vˌɑː.lɑ#ˌŏɑs.se#vˌɑːlː.tij.dˌeæs.kɑ.gujn
ficce+Interj	ficce	fˈit.tse
fidnovihki+N+Sg+Ill	fitnovihkái	fˈit.no#vˌihː.kɑːj
fidnu+N+Sg+Gen+PxPl2	fitnodet	fˈit.no.ðeh
fioleahtta+A+Sg+Ill	fiolehttii	fˈi.o.lˌehː.tij
fiškkardit+V+IV+VGen	fiškkar	fˈiʃ.kɑːr
flatteret+V+TV+Ind+Prt+Sg3	flatterii	flˈɑt.te.rij
flora+N+Pl+Com	floraiguin	flˈo.rɑːj.gujn
fluksasuhkodat+N+Sg+Ill	fluksasuhkodahkii	flˈukː.sɑː#sˌuh.ko.dˌɑh.kij
flygel+N+Pl+Nom	flygelat	flˈy.ge.lɑh
fobiija+N+Ess+PxDu3	fobiijaneaskka	fˈoː.bij.jˌɑ.neæs.kɑ
fobiija+N+Sg+Ill	fobiijii	fˈoː.bij.jij
fokuseret+V+TV+Ind+Prt+Pl2	fokuseriidet	fˈo.ku.sˌe.rij.deh
fonta+N+Sg+Loc	fonttas	fˈonn̥ː.tɑːs
friddja+A+Sg+Acc	friddja	frˈiɟː.cɑ
fronderet+V+TV+Imprt+Sg3	fronderejus	frˈonː.te.rˌe.jus
fuikkodit+V+TV+Actio+Nom	fuikkodan	fˈujç.ko.ðɑn
fuikkodit+V+TV+VAbess	fuikkotkeahttájin	fˈujç.koh#khˌĕæhː.tɑː.jin
fuotnut+V+IV+Der/PassS+V+IV+Ind+Prt+Sg3	fudnui	fˈud.nu»i
furrošit+V+IV+Ger+PxDu1	furrošettiineame	fˈur.ro.ʃˌet.tij.nˌĕæ.me
fušoneret+V+TV+Ger	fušoneredin	fˈu.ʃo.nˌe.re.din
fušoneret+V+TV+Ind+Prt+Du3	fušoneriiga	fˈu.ʃo.nˌe.rij.gɑ
fylka+N+Der/viđá+Adv	fylkaviđá	fˈylə.hkɑ»vˌi.ðɑː
fylkkabellodatsearvi+N+Sg+Acc+PxSg1	fylkkabellodatsearván	fˈyll̥.kɑ#pˌel.lo.dɑh#sˌĕærə.vɑːn
fysiologiija+N+Sg+Ill	fysiologiijii	fˈy.sio.lˌo.gij.jij
fánsa+N+Der/viđá+Adv	fánsaviđá	fˈɑːnː.sɑ»vˌi.ðɑː
fátmi+N+Sg+Nom	fátmi	fˈɑːtː.miː
fávnnadávgi+N+Sg+Gen+Allegro	fávnnadávgge	fˈɑːβn.nɑ#tˌɑːβk.ke
føydalisma+N+Sg+Ill	føydalismii	fˈøy.dɑ.lˌisː.mij
føydálariekti+N+Der/viđá+Adv	føydálariekteviđá	fˈøy.dɑː.lɑ#rˌĭekː.hte»vˌi.ðɑː
falástallanruhta+N+Pl+Loc+PxPl1	valástallanruđaineamet	vˈɑ.lɑːs.tˌɑl.lɑn#rˌu.ðɑj.nˌĕæ.meh
falástallanruhta+N+Pl+Nom+PxSg1	valástallanruđaidan	vˈɑ.lɑːs.tˌɑl.lɑn#rˌu.ðɑj.dɑn
falástallanruhta+N+Pl+Nom	valástallanruđat	vˈɑ.lɑːs.tˌɑl.lɑn#rˌu.ðɑh
falástallanruhta+N+Sg+Acc+PxSg3	valástallanruđas	vˈɑ.lɑːs.tˌɑl.lɑn#rˌu.ðɑs
falástallanruhta+N+Sg+Gen+PxPl3	valástallanruđaset	vˈɑ.lɑːs.tˌɑl.lɑn#rˌu.ðɑ.seh
falástallanruhta+N+Sg+Gen+PxSg2	valástallanruđat	vˈɑ.lɑːs.tˌɑl.lɑn#rˌu.ðɑh
falástallanruhta+N+Sg+Gen+PxSg3	valástallanruđas	vˈɑ.lɑːs.tˌɑl.lɑn#rˌu.ðɑs
falástallanruhta+N+Sg+Loc	valástallanruđas	vˈɑ.lɑːs.tˌɑl.lɑn#rˌu.ðɑs
falástallanruhta+N+Sg+Loc+PxDu2	valástallanruđasteatte	vˈɑ.lɑːs.tˌɑl.lɑn#rˌu.ðɑs.tˌĕæt.te
falástallanruhta+N+Der/Dimin+N+Sg+Nom	valástallanruđaš	vˈɑ.lɑːs.tˌɑl.lɑn#rˌu.ðɑ»ʃ
falástallanruhta+N+Der/huvva+V+IV+Ind+Prt+Du1	valástallanruđahuvaime	vˈɑ.lɑːs.tˌɑl.lɑn#rˌu.ðɑ»hˌu.vɑj.me
falástallanruhta+N+Ess+PxSg3	valástallanruhtanis	vˈɑ.lɑːs.tˌɑl.lɑn#rˌuh.tɑ.nis
falástallanruhta+N+Der/viđá+Adv	valástallanruhtaviđá	vˈɑ.lɑːs.tˌɑl.lɑn#rˌuh.tɑ»vˌi.ðɑː
falástallanruhta+N+Sg+Ill	valástallanruhtii	vˈɑ.lɑːs.tˌɑl.lɑn#rˌuh.tij
faláštallanruhta+N+Pl+Com+PxDu2	valáštallanruđaideatteguin	vˈɑ.lɑːʃ.tˌɑl.lɑn#rˌu.ðɑj.dˌĕæt.te.gujn
faláštallanruhta+N+Pl+Gen+PxSg2	valáštallanruđaidat	vˈɑ.lɑːʃ.tˌɑl.lɑn#rˌu.ðɑj.dɑh
faláštallanruhta+N+Pl+Nom	valáštallanruđat	vˈɑ.lɑːʃ.tˌɑl.lɑn#rˌu.ðɑh
faláštallanruhta+N+Sg+Gen+PxDu2	valáštallanruđade	vˈɑ.lɑːʃ.tˌɑl.lɑn#rˌu.ðɑ.de
faláštallanruhta+N+Sg+Gen+PxDu3	valáštallanruđaska	vˈɑ.lɑːʃ.tˌɑl.lɑn#rˌu.ðɑs.kɑ
faláštallanruhta+N+Sg+Com+PxPl1	valáštallanruđaineamet	vˈɑ.lɑːʃ.tˌɑl.lɑn#rˌu.ðɑj.nˌĕæ.meh
faláštallanruhta+N+Sg+Loc+PxPl1	valáštallanruđasteamet	vˈɑ.lɑːʃ.tˌɑl.lɑn#rˌu.ðɑs.tˌĕæ.meh
faláštallanruhta+N+Sg+Loc+PxSg1	valáštallanruđastan	vˈɑ.lɑːʃ.tˌɑl.lɑn#rˌu.ðɑs.tɑn
faláštallanruhta+N+Der/huvva+V+IV+Ger	valáštallanruđahuvadin	vˈɑ.lɑːʃ.tˌɑl.lɑn#rˌu.ðɑ»hˌu.vɑ.din
faláštallanruhta+N+Der/laš+A+Comp+Sg+Nom	valáštallanruđalit	vˈɑ.lɑːʃ.tˌɑl.lɑn#rˌu.ðɑ»lih
faláštallanruhta+N+Ess+PxDu2	valáštallanruhtaneatte	vˈɑ.lɑːʃ.tˌɑl.lɑn#rˌuh.tɑ.nˌĕæt.te
faláštallanruhta+N+Ess+PxDu3	valáštallanruhtaneaskka	vˈɑ.lɑːʃ.tˌɑl.lɑn#rˌuh.tɑ.nˌeæs.kɑ
faláštallanruhta+N+Ess+PxSg2	valáštallanruhtanat	vˈɑ.lɑːʃ.tˌɑl.lɑn#rˌuh.tɑ.nɑh
faláštallanruhta+N+Ess+PxSg3	valáštallanruhtanis	vˈɑ.lɑːʃ.tˌɑl.lɑn#rˌuh.tɑ.nis
faláštallanruhta+N+Sg+Acc+PxSg1	valáštallanruhtan	vˈɑ.lɑːʃ.tˌɑl.lɑn#rˌuh.tɑn
faláštallanruhta+N+Sg+Nom+PxDu2	valáštallanruhtade	vˈɑ.lɑːʃ.tˌɑl.lɑn#rˌuh.tɑ.de
faláštallanruhta+N+Sg+Nom+PxPl1	valáštallanruhtamet	vˈɑ.lɑːʃ.tˌɑl.lɑn#rˌuh.tɑ.meh
faláštallanruhta+N+Der/viđá+Adv	valáštallanruhtaviđá	vˈɑ.lɑːʃ.tˌɑl.lɑn#rˌuh.tɑ»vˌi.ðɑː
faláštallanruhta+N+Sg+Ill	valáštallanruhtii	vˈɑ.lɑːʃ.tˌɑl.lɑn#rˌuh.tij
gii+Pron+Interr+Sg+Ill+Foc	geasagii	kˈeæ.sɑ.gij
gii+Pron+Interr+Sg+Nom	gii	kˈij
gii+Pron+Interr+Pl+Acc	geaid	kˈeæjh
gii+Pron+Interr+Pl+Nom	geat	kˈeæh
gii+Pron+Rel+Sg+Ill+Foc	geasagii	kˈeæ.sɑ.gij
gii+Pron+Rel+Sg+Nom	gii	kˈij
gii+Pron+Rel+Sg+Gen	gean	kˈeæn
goabbat+Pron+Recipr+Du	goabbat	kˈoɑbː.pɑh
goabbat+Pron+Recipr+Pl	guhtet	kˈuːh.teh
guhte+Pron+Rel+Sg+Nom	guhtes	kˈuːh.tes
guhtemuš+Pron+Interr	guhtemuš	kˈuh.te.muʃ
guoibmi+Pron+Recipr+Pl+Acc+PxPl1	guimmiideamet	kˈujm.mij.dˌĕæ.meh
guoibmi+Pron+Recipr+Pl+Acc+PxPl3	guimmiideaset	kˈujm.mij.dˌĕæ.seh
guoibmi+Pron+Recipr+Pl+Loc+PxDu2	guimmiineatte	kˈujm.mij.nˌĕæt.te
guoibmi+Pron+Recipr+Sg+Ill+PxPl1	guoibmáseamet	kˈuoj.pmɑː.sˌĕæ.meh
gabba+N+Sg+Acc+PxPl2	gappadet	kˈɑpː.pɑː.ðeh
gadjat+V+IV+Der/NomAg+N+Der/viđá+Adv	gaddjaviđá	kˈɑɟː.cɑ»vˌi.ðɑː
gahci+A+Sg+Ill	gahcái	kˈɑhː.tsɑːj
gatnut+V+IV+Der/PassL+V+IV+Cond+Prs+Pl3	gadnojuvvoledje	kˈɑd.noj»ˌuv.vo.lˌec.ce
gaškát+V+IV+Der/PassL+V+IV+Ind+Prt+Sg3	gaškájuvvui	kˈɑʃː.kɑː»j»ˌuv.vuj
georgisma+N+Sg+Loc+PxDu3	georgismmasteaskka	kˈe.or.gˌis.mɑs.tˌeæs.kɑ
geotropisma+N+Sg+Com+PxDu2	geotropismmaineatte	kˈe.o.trˌo.pis.mˌɑj.nĕæt.te
gerddodit+V+TV+Ind+Prs+ConNeg	gerddot	kˈert.toh
getkkoštit+V+TV+Actio+Com	getkkoštemiin	kˈetk.koʃ.tˌe.mijn
gevkkohaddat+V+IV+Der/NomAg+N+Sg+Com+PxPl1	gevkkohaddiineamet	kˈeβɸ.ko.hˌɑdː.ti»ˌi.nĕæ.meh
geđđohit+V+TV+Sup	geđđoheažžat	kˈeð.ðo.hˌeædː.tʃɑh
gii+Pron+Indef+Ess	geanin	kˈeæ.niːn
gii+Pron+Indef+Pl+Nom	geat	kˈeæh
giige+Pron+Indef+Pl+Loc	geainge	kˈĕæjn.ge
giige+Pron+Indef+Pl+Nom	geatge	kˈĕæt.ge
gibuheapme+A+Pl+Nom	gibuheamet	kˈi.bu.hˌĕæ.meh
girgašlaš+N+Sg+Nom	girgašlaš	kˈirə.kɑʃ.lɑʃ
glykogena+N+Sg+Ill	glykogenii	glˈy.ko.gˌe.nij
glássaávnnas+N+Der/geahtes+A+Attr	glássaávnnasgeahtes	glˈɑːs.sɑ#ˌɑːβn.nɑs»gˌĕæh.tes
gneaisa+N+Ess+PxPl2	gneaisaneattet	gnˈĕæjː.sɑ.nˌĕæt.teh
gnostisisma+N+Der/viđá+Adv	gnostisismaviđá	gnˈosː.ti.sˌisː.mɑ»vˌi.ðɑː
gnostisisma+N+Sg+Ill	gnostisismii	gnˈosː.ti.sˌisː.mij
goiddas+A+Der/at+Adv	goidasit	kˈojː.tɑː.sih
goksot+V+IV+Ind+Prt+Du1	goksuime	kˈokː.suj.me
golis+N+Der/geahtes+A+Attr	goleskeahtes	kˈoː.les»kˌĕæh.tes
graderet+V+TV+Der/PassL+V+IV+Actio+Nom	graderejuvvon	grˈɑ.de.re»jˌuv.von
grammatalaš+A+Sg+Nom	grammatalaš	grˈɑmː.mɑː.tˌɑ.lɑʃ
grupperet+V+TV+Der/PassL+V+IV+Actio+Nom	grupperejuvvon	grˈup.pe.re»jˌuv.von
gráfa+N+Der/viđá+Adv	gráfaviđá	grˈɑː.fɑ»vˌi.ðɑː
gulus+A+Der/vuohta+N+Sg+Loc+PxPl1	gulusvuođasteamet	kˈuː.lus»vˌuo.ðɑs.tˌĕæ.meh
gurra+N+Sg+Gen+PxPl2	guradet	kˈu.rɑː.ðeh
gymnasista+N+Der/Dimin+N+Sg+Nom	gymnasisttaš	kˈym.nɑ.sˌis.tɑ»ʃ
gyvelmiestta+N+Der/Dimin+N+Sg+Ill+PxSg2	gyvelmiestagažžasat	kˈy.vel#mˌĭesː.tɑg»ˌɑdː.tʃɑ.sɑh
gáibáddi+N+Sg+Nom	gáibáddi	kˈɑːj#pˌɑːdː.ti
gákkis+N+Sg+Gen	gággása	kˈɑːgː.kɑː.sɑ
gápmagahttá+Adv	gápmagahttá	kˈɑːp.mɑ.gˌɑhː.tɑː
gáskkiidit+V+TV+VGen	gáskkiit	kˈɑːs.kijh
gátnis+N+Der/geahtes+A+Attr	gátneskeahtes	kˈɑːt.nes»kˌĕæh.tes
gäbbäläbivdu+N+Sg+Gen+PxSg2	gäbbäläbivddot	kˈæbː.pæ.læ#pˌiβt.toh
gælalaš+A+Ess	gælalažžan	kˈæ.lɑ.lˌɑdː.tʃɑn
hacker+N+Pl+Ill+PxSg2	hackeriiddásat	hˈɑts.ke.rˌijtː.tɑː.sɑh
haddi+N+Sg+Gen+Allegro	hatte	hˈɑt.te
haga+Adv	haga	hˈɑ.gɑː
harrat+V+IV+VGen	hara	hˈɑ.rɑː
heairrehit+V+IV+Der/adda+V+Pot+Prs+Sg3	heairráhattaža	hˈeæjr.rɑːh»ˌɑt.tɑ.dʃɑ
hedjodat+N+Sg+Com+PxPl2	hedjodagaineattet	hˈec.co.ðˌɑ.gɑj.nˌĕæt.teh
heijjá+Interj	heijjá	hˈejː.jɑː
heksaedar+N+Der/viđá+Adv	heksaedarviđá	hˈekː.sɑː.ˌe.dɑr»vˌi.ðɑː
hektograferet+V+TV+Ind+Prt+Du2	hektograferiide	hˈekː.hto.grˌɑ.fe.rˌij.de
hemoglobiidna+N+Sg+Com+PxPl1	hemoglobiinnaineamet	hˈe.mo#glˌo.bijn.nˌɑj.nĕæ.meh
hetlaš+N+Sg+Nom	hetlaš	hˈet.lɑːʃ
himuheapme+A+Der/at+Adv	himuhit	hˈi.mu.hih
hipmu+N+Pl+Nom	himut	hˈi.muːh
hirbma+N+Sg+Ill	hirbmii	hˈirə.pmij
hiđis+A+Der/vuohta+N+Sg+Ill	hiđisvuhtii	hˈiː.ðis»vˌuh.tij
hm+Interj	hm	hm
hmm+Interj	hmm	hmː
hobbi+N+Der/huhtti+V+TV+Ind+Prs+Pl3	hoppihuhttet	hˈop.pi»hˌuhː.teh
hoddet+V+IV+Ind+Prt+Du3	hoddiiga	hˈodː.tij.gɑ
hopmilvahkku+N+Der/huhtti+V+TV+Ger	hopmilvahkuhuhtidiin	hˈopː.mil#vˌɑh.ku»hˌuh.ti.dijn
hoŋket+V+TV+Der/PassL+V+IV+Der/upmi+N+Ess+PxPl1	hoŋkejupmineamet	hˈoŋŋ.ŋ̊ke»j»ˌup.mi.nˌĕæ.meh
hubmi+N+NomAg+Ess+PxPl1	hubmineamet	hˈub.mi.nˌĕæ.meh
hudju+A+Pl+Nom	hujut	hˈu.juːh
hujusmuvvat+V+IV+Sup	hujusmeažžat	hˈuː.jus.mˌeædː.tʃɑh
hullat+V+IV+Sup	hulažit	hˈu.lɑː.dʃih
humaidit+V+IV+PrsPrc	humajeaddji	hˈu.mɑː.jˌĕæɟː.ci
huohpat+V+IV+Der/NomAg+N+Der/viđá+Adv	huohppaviđá	hˈŭohː.pɑ»vˌi.ðɑː
huollat+V+TV+Ind+Prs+Sg3	huollá	hˈuol.lɑː
huovidit+V+IV+Imprt+Sg2	huovit	hˈuo.viːh
hyasinta+N+Sg+Acc+PxSg2	hyasintat	hˈy.ɑ.sˌinː.n̥tɑh
hyasinta+N+Sg+Ill	hyasintii	hˈy.ɑ.sˌinː.n̥tij
hyhttá+N+Sg+Nom+PxSg1	hyhttán	hˈyhː.tɑːn
hámat+N+Der/viđá+Adv	hámatviđá	hˈɑː.mɑh»vˌi.ðɑː
hánis+A+Sg+Acc	hátnása	hˈɑːt.nɑː.sɑ
håløygalaš+N+Der/Dimin+N+Sg+Nom	håløygalaččaš	hˈoːl.øy.gˌɑ.lɑt.tʃɑ»ʃ
håløygalaš+N+Sg+Nom	håløygalaš	hˈoːl.øy.gˌɑ.lɑʃ
ieš+Pron+Refl+Acc+PxDu1	iehčame	ˈieh.tʃɑ.me
ieš+Pron+Refl+Acc+PxPl1	iehčamet	ˈieh.tʃɑ.meh
ieš+Pron+Refl+Acc+PxSg1	iežan	ˈie.dʃɑn
ieš+Pron+Refl+Com+PxDu1	iežaineame	ˈie.dʃɑj.nˌĕæ.me
ieš+Pron+Refl+Com+PxPl3	iežaineaset	ˈie.dʃɑj.nˌĕæ.seh
ieš+Pron+Refl+Du+Nom	ieža	ˈie.dʃɑ
ieš+Pron+Refl+Ess+PxPl2	iehčaneattet	ˈieh.tʃɑ.nˌĕæt.teh
ieš+Pron+Refl+Gen+PxSg3+Attr	ald	ˈɑld
ieš+Pron+Refl+Ill+PxPl3	alcceset	ˈɑll̥.tse.seh
ieš+Pron+Refl+Ill+PxPl2	allaseattet	ˈɑlː.lɑː.sˌĕæt.teh
ieš+Pron+Refl+Ill+PxSg1	allasan	ˈɑlː.lɑː.sɑn
ieš+Pron+Refl+Loc+PxDu3	alddiska	ˈɑltː.tis.kɑ
ieš+Pron+Refl+Loc+PxSg3	alddis	ˈɑltː.tiːs
ieš+Pron+Refl+Pl+Nom	ieža	ˈie.dʃɑ
ieš+Pron+Refl+Sg+Nom	ieš	ˈieʃ
ii+V+IV+Neg+Imprt+Pl3	alloset	ˈɑl.lo.seh
ii+V+IV+Neg+Imprt+Sg2	ale	ˈɑ.le
ii+V+IV+Neg+Imprt+Sg3	allos	ˈɑl.los
ii+V+IV+Neg+Ind+Du1	ean	ˈeæn
ii+V+IV+Neg+Ind+Du3	eaba	ˈeæ.bɑ
ii+V+IV+Neg+Ind+Pl2	ehpet	ˈeːh.peh
ii+V+IV+Neg+Ind+Pl3	eai	ˈeæj
ii+V+IV+Neg+Ind+Sg1	in	ˈin
ii+V+IV+Neg+Ind+Sg2	it	ˈih
ii+V+IV+Neg+Ind+Sg3	ii	ˈij
ii+V+IV+Neg+Sup+Pl2	amadet	ˈɑ.mɑː.ðeh
ii+V+IV+Neg+Sup+Pl3	amaset	ˈɑ.mɑː.seh
ii+V+IV+Neg+Sup+Sg1	aman	ˈɑ.mɑːn
ii+V+IV+Neg+Sup+Sg2	amat	ˈɑ.mɑːh
idja+N+Pl+Nom	ijat	ˈi.jɑːh
idja+N+Ess+PxSg2	idjanat	ˈicː.cɑː.nɑh
idjavuorru+N+Der/Dimin+N+Sg+Nom	idjavuroš	ˈicː.cɑː#vˌu.ro»ʃ
idylliseret+V+TV+Ind+Prt+Pl2	idylliseriidet	ˈiː.dyl.lˌi.se.rˌij.deh
ihtit+V+IV+Imprt+ConNeg	iđe	ˈiː.ðe
ihtamat+N+Der/viđá+Adv	ihtanviđá	ˈihː.tɑːn»vˌi.ðɑː
ihtit+V+IV+Imprt+Pl2	ihttet	ˈihː.teh
ihánit+Adv	ihánit	ˈi.hɑː.nih
iihii+Interj	iihii	ˈij.hij
ijabealle+N+Pl+Com+PxSg3	ijabeliidisguin	ˈi.jɑː#pˌe.lij.dˌis.gujn
ijabealde+Po	ijabealde	ˈi.jɑː#pˌĕælː.te
ijaiduvvat+V+IV+Der/ahtti+V+TV+Imprt+Du1	ijaiduhttu	ˈi.jɑːjh»ˌuhː.tu
iktit+V+TV+Der/PassL+V+IV+Der/supmi+N+Sg+Ill	iktosupmái	ˈikː.hto»sˌupː.mɑːj
iktit+V+TV+VAbess	ivttekeahttájin	ˈiβɸ.te.kˌĕæhː.tɑː.jin
illu+N+Der/huvva+V+IV+VGen	iluhuva	ˈi.lu»hˌu.vɑ
imaš+A+Ess	imašin	ˈi.mɑː.ʃin
imaš+N+Ess	imašin	ˈi.mɑː.ʃin
imaš+A+Ess	imašin	ˈi.mɑː.ʃin
imiteret+V+TV+Ind+Prt+Du2	imiteriide	ˈi.mi.tˌe.rij.de
impliceret+V+TV+Ind+Prs+Sg3	implicere	ˈim.pli.tsˌe.re
importøra+N+Ess+PxDu3	importøraneaskka	ˈimː.m̥por.htˌø.rɑ.nˌeæs.kɑ
imperfeakta+N+Sg+Ill	imperfektii	ˈimː.m̥per.fˌekː.htij
imaš+A+Comp+Der/Dimin+A+Attr	ipmaheppoš	ˈipː.mɑː.hˌep.po»ʃ
inklineret+V+TV+Ind+Prt+Sg3	inklinerii	ˈin.kli.nˌe.rij
ioniseret+V+TV+Ind+Prt+Du2	ioniseriide	ˈio.ni.sˌe.rij.de
ioniseret+V+TV+Ind+Prt+Du3	ioniseriiga	ˈio.ni.sˌe.rij.gɑ
ioniseret+V+TV+Ind+Prt+Pl1	ioniseriimet	ˈio.ni.sˌe.rij.meh
ioniseret+V+TV+Ind+Prt+Pl2	ioniseriidet	ˈio.ni.sˌe.rij.deh
ioniseret+V+TV+Ind+Prt+Sg3	ioniserii	ˈio.ni.sˌe.rij
ipmi+N+Sg+Gen+Allegro	ime	ˈiː.me
ipmi+N+Pl+Gen	imiid	ˈiː.mijh
ipmi+N+Sg+Acc+PxDu2	imáde	ˈi.mɑː.ðe
irrut+V+IV+Ind+Prt+ConNeg	irron	ˈir.ron
itnat+V+IV+VAbess	inahaga	ˈi.nɑː.hˌɑ.gɑ
itnut+V+IV+Der/st+V+Ind+Prs+ConNeg	inus	ˈi.nu»s
itnat+V+IV+Imprt+Pl2	idnet	ˈid.neh
itkkus+N+Pl+Nom	itkosat	ˈitː.hko.sɑh
iđa+N+Ess+PxDu1	iđaneame	ˈi.ðɑː.nˌĕæ.me
iđa+N+Sg+Nom	iđa	ˈi.ðɑː
iđa+N+Sg+Nom+PxDu3	ihtageaskka	ˈihː.tɑː.gˌeæs.kɑ
iđa+N+Der/Dimin+N+Der/Dimin+N+Ess	ihtagaččažin	ˈihː.tɑːg»ˌɑt.tʃɑ»dʃin
iđat+N+Sg+Ill+PxSg3	iđahasas	ˈi.ðɑː.hˌɑ.sɑs
