Armstrong+N+Prop+Sem/Sur+Sg+Gen	Armstronga	ˈɑrm.stron.gɑ
AIDS+N+Ess+PxDu1	AIDSaneame	ˈɑjd.sɑː.nˌĕæ.me
AIDS+N+Ess+PxPl3	AIDSaneaset	ˈɑjd.sɑː.nˌĕæ.seh
AIDS+N+Ess+PxSg1	AIDSanan	ˈɑjd.sɑː.nɑn
AIDS+N+Pl+Nom	AIDSat	ˈɑjd.sɑːh
AIDS+N+Pl+Acc+PxPl3	AIDSaideaset	ˈɑjd.sɑːj.dˌĕæ.seh
AIDS+N+Sg+Nom+PxDu3	AIDSaska	ˈɑjd.sɑːs.kɑ
AIDS+N+Sg+Com+PxPl2	AIDSaineattet	ˈɑjd.sɑːj.nˌĕæt.teh
AIDS+N+Sg+Ill+PxPl3	AIDSaseaset	ˈɑjd.sɑː.sˌĕæ.seh
AIDS+N+Sg+Ill+PxSg1	AIDSasan	ˈɑjd.sɑː.sɑn
AIDS+N+Der/Dimin+N+Der/viđá+Adv	AIDSašviđá	ˈɑjd.sɑː»ʃ»vˌi.ðɑː
AIDS+N+Der/Dimin+N+Pl+Nom	AIDSažat	ˈɑjd.sɑː»dʃɑh
AIDS+N+Sg+Ill	AIDSii	ˈɑjd.sij
Biehtárvahkku+N+Sg+Acc+PxSg2	Biehtárvahkot	pˈieh.tɑːr#vˌɑh.koh
Biehtárvahkku+N+Der/Dimin+N+Sg+Nom	Biehtárvahkoš	pˈieh.tɑːr#vˌɑh.ko»ʃ
Biehtárvahkku+N+Der/Dimin+N+Der/viđá+Adv	Biehtárvahkošviđá	pˈieh.tɑːr#vˌɑh.ko»ʃ»vˌi.ðɑː
Biehtárvahkku+N+Der/Dimin+N+Sg+Gen	Biehtárvahkoža	pˈieh.tɑːr#vˌɑh.ko»dʃɑ
Biehtárvahkku+N+Der/laš+A+AttrCmp+Der/namat+A+Der/vuohta+N+Sg+Ill	Biehtárvahkolašnamatvuhtii	pˈieh.tɑːr#vˌɑh.ko»lɑʃ»nˌɑ.mɑh»vˌuh.tij
Biehtárvahkku+N+Der/laš+A+Der/vuohta+N+Sg+Ill	Biehtárvahkolašvuhtii	pˈieh.tɑːr#vˌɑh.ko»lɑʃ»vˌuh.tij
Biehtárvahkku+N+Pl+Loc+PxDu1	Biehtárvahkuineame	pˈieh.tɑːr#vˌɑh.kuj.nˌĕæ.me
Biehtárvahkku+N+Pl+Nom	Biehtárvahkut	pˈieh.tɑːr#vˌɑhː.kuh
Biehtárvahkku+N+Sg+Com+PxPl2	Biehtárvahkuineattet	pˈieh.tɑːr#vˌɑh.kuj.nˌĕæt.teh
Biehtárvahkku+N+Der/heapmi+A+Sg+Com	Biehtárvahkuhemiin	pˈieh.tɑːr#vˌɑh.ku»hˌe.mijn
Biehtárvahkku+N+Der/huhtti+V+TV+Der/PassS+V+IV+Ind+Prt+Sg3	Biehtárvahkuhuhttui	pˈieh.tɑːr#vˌɑh.ku»hˌuhː.tu»i
Biehtárvahkku+N+Sg+Nom+PxDu1	Biehtárvahkkome	pˈieh.tɑːr#vˌɑhː.ko.me
Biehtárvahkku+N+Der/viđá+Adv	Biehtárvahkkoviđá	pˈieh.tɑːr#vˌɑhː.ko»vˌi.ðɑː
Biehtárvahkku+N+Pl+Nom	Biehtárvahkkut	pˈieh.tɑːr#vˌɑhː.kuh
Biehtárvahkku+N+Pl+Com	Biehtárvahkkuiguin	pˈieh.tɑːr#vˌɑhː.kuj.gujn
Biehtárvahkku+N+Pl+Gen+PxDu3	Biehtárvahkkuideaskka	pˈieh.tɑːr#vˌɑhː.kuj.dˌeæs.kɑ
Biehtárvahkku+N+Pl+Loc+PxDu1	Biehtárvahkkuineame	pˈieh.tɑːr#vˌɑhː.kuj.nˌĕæ.me
Birggetbeaivi+N+Pl+Com+PxDu1	Birggetbeivviideameguin	pˈirk.keh#pˌejv.vij.dˌĕæ.me.gujn
Birggetbeaivi+N+Pl+Com	Birggetbeivviiguin	pˈirk.keh#pˌejv.vij.gujn
Birggetbeaivi+N+Pl+Ill	Birggetbeivviide	pˈirk.keh#pˌejv.vij.de
Birggetbeaivi+N+Sg+Com+PxDu1	Birggetbeivviineame	pˈirk.keh#pˌejv.vij.nˌĕæ.me
Birggetbeaivi+N+Sg+Com+PxPl3	Birggetbeivviineaset	pˈirk.keh#pˌejv.vij.nˌĕæ.seh
Birggetbeaivi+N+Sg+Com+PxSg1	Birggetbeivviinan	pˈirk.keh#pˌejv.vij.nɑn
Birggetbeaivi+N+Sg+Ill	Birggetbeaivái	pˈirk.keh#pˌĕæjː.vɑːj
Birggetbeaivi+N+Der/heapmi+A+Comp+Attr	Birggetbeaivvihat	pˈirk.keh#pˌeæjv.vi»hɑh
Birggetbeaivi+N+Der/huhtti+V+TV+Imprt+Du1	Birggetbeaivvihuhttu	pˈirk.keh#pˌeæjv.vi»hˌuhː.tu
Birggetvahkku+N+Sg+Acc+PxDu2	Birggetvahkode	pˈirk.keh#vˌɑh.ko.de
Birggetvahkku+N+Sg+Acc+PxPl2	Birggetvahkodet	pˈirk.keh#vˌɑh.ko.deh
Birggetvahkku+N+Pl+Com	Birggetvahkuiguin	pˈirk.keh#vˌɑh.kuj.gujn
Birggetvahkku+N+Sg+Acc+PxSg3	Birggetvahkus	pˈirk.keh#vˌɑhː.kus
Birggetvahkku+N+Sg+Acc	Birggetvahku	pˈirk.keh#vˌɑhː.ku
Birggetvahkku+N+Sg+Gen+PxSg3	Birggetvahkus	pˈirk.keh#vˌɑhː.kus
Birggetvahkku+N+Der/heapmi+A+Attr	Birggetvahkuhis	pˈirk.keh#vˌɑh.ku»his
Birggetvahkku+N+Der/huhtti+V+TV+Actio+Gen	Birggetvahkkohuhttin	pˈirk.keh#vˌɑhː.ko»hˌuhː.tin
Birggetvahkku+N+Der/viđá+Adv	Birggetvahkkoviđá	pˈirk.keh#vˌɑhː.ko»vˌi.ðɑː
Birggetvahkku+N+Ess+PxDu2	Birggetvahkkuneatte	pˈirk.keh#vˌɑhː.ku.nˌĕæt.te
Birggetvahkku+N+Pl+Loc+PxDu2	Birggetvahkkuineatte	pˈirk.keh#vˌɑhː.kuj.nˌĕæt.te
Birggetvahkku+N+Sg+Nom	Birggetvahkku	pˈirk.keh#vˌɑhː.ku
Erkkebeaivi+N+Pl+Gen+PxSg3	Erkkebeivviidis	ˈerr̥.ke#pˌejv.vij.dis
Erkkebeaivi+N+Pl+Ill	Erkkebeivviide	ˈerr̥.ke#pˌejv.vij.de
Erkkebeaivi+N+Sg+Com+PxDu3	Erkkebeivviineaskka	ˈerr̥.ke#pˌejv.vij.nˌeæs.kɑ
Erkkebeaivi+N+Sg+Com+PxPl3	Erkkebeivviineaset	ˈerr̥.ke#pˌejv.vij.nˌĕæ.seh
Erkkebeaivi+N+Sg+Ill	Erkkebeaivái	ˈerr̥.ke#pˌĕæjː.vɑːj
Erkkebeaivi+N+Der/heapmi+A+Attr+Der/vuohta+N+Pl+Ill+PxSg1	Erkkebeaivvehisvuođaidasan	ˈerr̥.ke#pˌĕæjv.ve»his»vˌuo.ðɑj.dˌɑ.sɑn
Erkkebeaivi+N+Sg+Loc+PxPl2	Erkkebeaivvisteattet	ˈerr̥.ke#pˌeæjv.vis.tˌĕæt.teh
Erkkebeaivi+N+Der/laš+A+Der/vuohta+N+Pl+Nom+PxPl1	Erkkebeaivválašvuođaideamet	ˈerr̥.ke#pˌeæjv.vɑː»lɑʃ»vˌuo.ðɑj.dˌĕæ.meh
Erkkevahkku+N+Der/Dimin+N+Der/Dimin+N+Pl+Nom	Erkkevahkožaččat	ˈerr̥.ke#vˌɑh.ko»dʃˌɑt.tʃɑh
Erkkevahkku+N+Pl+Nom	Erkkevahkut	ˈerr̥.ke#vˌɑhː.kuh
Erkkevahkku+N+Sg+Acc	Erkkevahku	ˈerr̥.ke#vˌɑhː.ku
Erkkevahkku+N+Sg+Com+PxPl2	Erkkevahkuineattet	ˈerr̥.ke#vˌɑh.kuj.nˌĕæt.teh
Erkkevahkku+N+Der/heapmi+A+Comp+Attr	Erkkevahkkohit	ˈerr̥.ke#vˌɑhː.ko»hih
Erkkevahkku+N+Pl+Nom	Erkkevahkkut	ˈerr̥.ke#vˌɑhː.kuh
Erkkevahkku+N+Sg+Acc	Erkkevahkku	ˈerr̥.ke#vˌɑhː.ku
Erkkevahkku+N+Sg+Loc	Erkkevahkkus	ˈerr̥.ke#vˌɑhː.kus
Eskilvahkku+N+Sg+Acc+PxPl2	Eskilvahkodet	ˈesː.kil#vˌɑh.ko.deh
Eskilvahkku+N+Sg+Acc+PxSg2	Eskilvahkot	ˈesː.kil#vˌɑh.koh
Eskilvahkku+N+Sg+Gen+PxPl2	Eskilvahkodet	ˈesː.kil#vˌɑh.ko.deh
Eskilvahkku+N+Der/laš+A+Superl+Sg+Ill	Eskilvahkolepmosii	ˈesː.kil#vˌɑh.ko»lˌep.mo.sij
Eskilvahkku+N+Pl+Ill	Eskilvahkuide	ˈesː.kil#vˌɑh.kuj.de
Eskilvahkku+N+Sg+Gen	Eskilvahku	ˈesː.kil#vˌɑhː.ku
Eskilvahkku+N+Sg+Com+PxPl2	Eskilvahkuineattet	ˈesː.kil#vˌɑh.kuj.nˌĕæt.teh
Eskilvahkku+N+Sg+Loc	Eskilvahkus	ˈesː.kil#vˌɑhː.kus
Eskilvahkku+N+Sg+Loc+PxSg3	Eskilvahkustis	ˈesː.kil#vˌɑhː.kus.tis
Eskilvahkku+N+Der/Dimin+N+Sg+Gen	Eskilvahkkoža	ˈesː.kil#vˌɑhː.ko»dʃɑ
Eskilvahkku+N+Der/Dimin+N+Der/Dimin+N+Sg+Nom	Eskilvahkkožaš	ˈesː.kil#vˌɑhː.ko»dʃɑʃ
Eskilvahkku+N+Der/viđá+Adv	Eskilvahkkoviđá	ˈesː.kil#vˌɑhː.ko»vˌi.ðɑː
Eskilvahkku+N+Pl+Nom	Eskilvahkkut	ˈesː.kil#vˌɑhː.kuh
Eskilvahkku+N+Sg+Loc	Eskilvahkkus	ˈesː.kil#vˌɑhː.kus
Eskilvahkku+N+Sg+Com	Eskilvahkkuin	ˈesː.kil#vˌɑhː.kujn
Eskilvahkku+N+Sg+Ill	Eskilvahkkui	ˈesː.kil#vˌɑhː.kuj
Gucco+Interj	Gucco	kˈut.tso
Heaikkavahkku+N+Sg+Acc+PxDu2	Heaikkavahkode	hˈeæjç.kɑ#vˌɑh.ko.de
Heaikkavahkku+N+Sg+Gen+PxDu2	Heaikkavahkode	hˈeæjç.kɑ#vˌɑh.ko.de
Heaikkavahkku+N+Der/Dimin+N+Sg+Ill+PxDu3	Heaikkavahkožasaska	hˈeæjç.kɑ#vˌɑh.ko»dʃˌɑ.sɑs.kɑ
Heaikkavahkku+N+Der/laš+A+Ess	Heaikkavahkolažžan	hˈeæjç.kɑ#vˌɑh.ko»lˌɑdː.tʃɑn
Heaikkavahkku+N+Pl+Ill+PxPl3	Heaikkavahkuidasaset	hˈeæjç.kɑ#vˌɑh.kuj.dˌɑ.sɑ.seh
Heaikkavahkku+N+Sg+Com+PxSg3	Heaikkavahkuinis	hˈeæjç.kɑ#vˌɑh.kuj.nis
Heaikkavahkku+N+Sg+Loc	Heaikkavahkus	hˈeæjç.kɑ#vˌɑhː.kus
Heaikkavahkku+N+Sg+Loc+PxPl3	Heaikkavahkusteaset	hˈeæjç.kɑ#vˌɑhː.kus.tˌĕæ.seh
Heaikkavahkku+N+Der/huvva+V+IV+VAbess	Heaikkavahkuhuvahaga	hˈeæjç.kɑ#vˌɑh.ku»hˌu.vɑ.hˌɑ.gɑ
Heaikkavahkku+N+Der/huvva+V+IV+Imprt+Pl1	Heaikkavahkuhuvvut	hˈeæjç.kɑ#vˌɑh.ku»hˌuvː.vuh
Heaikkavahkku+N+Der/huvva+V+IV+Ind+Prs+Sg3	Heaikkavahkuhuvvá	hˈeæjç.kɑ#vˌɑh.ku»hˌuvː.vɑː
Heaikkavahkku+N+Sg+Ill+PxPl2	Heaikkavahkkoseattet	hˈeæjç.kɑ#vˌɑhː.ko.sˌĕæt.teh
Heaikkavahkku+N+Sg+Ill+PxSg1	Heaikkavahkkosan	hˈeæjç.kɑ#vˌɑhː.ko.sɑn
Heaikkavahkku+N+Der/Dimin+N+Der/viđá+Adv	Heaikkavahkkošviđá	hˈeæjç.kɑ#vˌɑhː.ko»ʃ»vˌi.ðɑː
Heaikkavahkku+N+Der/viđá+Adv	Heaikkavahkkoviđá	hˈeæjç.kɑ#vˌɑhː.ko»vˌi.ðɑː
Heaikkavahkku+N+Ess+PxDu1	Heaikkavahkkuneame	hˈeæjç.kɑ#vˌɑhː.ku.nˌĕæ.me
Heaikkavahkku+N+Ess+PxSg1	Heaikkavahkkunan	hˈeæjç.kɑ#vˌɑhː.ku.nɑn
