Hoddevik+N+Prop+Sg+Ill	Hoddevikii	hˈod.de#viː.k>ij
Hofseth+N+Prop+Sem/Sur+Pl+Com	Hofsethaiguin	hˈof.set.>ɑj.gujn
Hrútafjörður+N+Prop+Ess	Hrútafjörðurin	hrˈuː.tɑ#fjørðu.r>in
Hsining+N+Prop+Sg+Gen+Allegro	Hsining	hsˈiː.niŋː>
Huelva+N+Prop+Sg+Loc	Huelvas	hˈuelː.vɑ>s
Hugulia+N+Prop+Der/laš+A+Pl+Com+PxDu2	Hugulialaččaideatteguin	hʉː.gu.li.ɑ>.lɑč.čɑj.dĕɑt.te.gujn
Hunderfossen+N+Prop+Der/laš+A+Sg+Ill	Hunderfossenlažžii	hˈunː.der#fˌos.sen>.lɑž.žij
Hupli+N+Prop+Sem/Sur+Sg+Loc	Huplis	hˈup.li>s
Hyrkania+N+Prop+Der/laš+A+Pl+Gen+PxPl3	Hyrkanialaččaideaset	hˈyrː.kɑ.nˌi.ɑ>.lɑč.čɑj.dĕɑ.set
Häkli+N+Prop+Sem/Sur+Sg+Ill	Häklii	hˈæk.li>i
Hälsingland+N+Prop+Sg+Nom	Hälsingland	hˈælː.siŋː#lɑnː>
Hågensen+N+Prop+Sem/Sur+Sg+Gen	Hågensena	hˈoː.gen.se.n>ɑ
Hætta+N+Prop+Sem/Sur+Pl+Nom	Hættat	hˈæːt.tɑ>t
Hörby+N+Prop+Sg+Ill	Hörbyi	hˈøːr#byː>i
Hörby+N+Prop+Der/laš+A+Sg+Ill	Hörbylažžii	hˈøːr#byː>.lɑž.žij
Ica+N+Prop+Sg+Acc	Ica	ˈiː.kɑ>
Icheng+N+Prop+Sem/Sur+Pl+Nom	Ichengat	ˈik.hen.g>ɑt
Idsø+N+Prop+Sg+Com	Idsøin	ˈids#øː>in
Ifjord+N+Prop+Sg+Nom	Ifjord	ˈiː#fjuːr>
Ifigeneia+N+Prop+Sg+Ill	Ifigeneiai	ˈiː.fi.gˌe.ne.iɑ>i
Ifigeneia+N+Prop+Der/laš+A+AttrCmp+Der/šlájat+A+Sg+Gen	Ifigeneialaššlájaga	ˈiː.fi.gˌe.ne.iɑ>.lɑʃ»ʃlˌá.jɑ.gɑ
Igeland+N+Prop+Sem/Sur+Sg+Nom	Igeland	ˈiː.ge#lɑnː>
Igerøy+N+Prop+Der/laš+A+Sg+Gen+PxDu1	Igerøyalažžame	ˈiː.ger#øy>ɑ.lɑž.žɑ.me
Ilagata+N+Prop+Sg+Com	Ilagateniin	ˈiː.lɑ#gˌɑː.te.niːn
Imsen+N+Prop+Sem/Sur+Sg+Acc	Imsena	ˈimː.se.n>ɑ
Inga+N+Prop+Sem/Fem+Sg+Ill	Ingai	ˈiŋ.ŋɑː>i
