Ayrshire+N+Prop+Ess	Ayrshiren	ˈɑyr#shˌi.re>n
Dorsetshire+N+Prop+Ess	Dorsetshiren	tˈorə.seh#shˌi.re>n
Dorsetshire+N+Prop+Sg+Acc	Dorsetshire	tˈorə.seh#shˌi.re>
Dorsetshire+N+Prop+Sg+Gen	Dorsetshire	tˈorə.seh#shˌi.re>
Dorsetshire+N+Prop+Sg+Nom	Dorsetshire	tˈorə.seh#shˌi.re>
Dorsetshire+N+Prop+Sg+Loc	Dorsetshires	tˈorə.seh#shˌi.re>s
Dorsetshire+N+Prop+Der/laš+A+Pl+Acc+PxPl1	Dorsetshirelaččaideamet	tˈorə.seh#shˌi.re>.lɑt.tʃɑj.dĕæ.meh
Dorsetshire+N+Prop+Der/laš+A+Pl+Acc	Dorsetshirelaččaid	tˈorə.seh#shˌi.re>.lɑt.tʃɑjh
Dorsetshire+N+Prop+Der/laš+A+Pl+Com+PxSg3	Dorsetshirelaččaidisguin	tˈorə.seh#shˌi.re>.lɑt.tʃɑj.dis.gujn
Dorsetshire+N+Prop+Der/laš+A+Pl+Com	Dorsetshirelaččaiguin	tˈorə.seh#shˌi.re>.lɑt.tʃɑj.gujn
Dorsetshire+N+Prop+Der/laš+A+Pl+Gen+PxDu2	Dorsetshirelaččaideatte	tˈorə.seh#shˌi.re>.lɑt.tʃɑj.dĕæt.te
Dorsetshire+N+Prop+Der/laš+A+Pl+Gen+PxPl3	Dorsetshirelaččaideaset	tˈorə.seh#shˌi.re>.lɑt.tʃɑj.dĕæ.seh
Dorsetshire+N+Prop+Der/laš+A+Pl+Gen+PxSg2	Dorsetshirelaččaidat	tˈorə.seh#shˌi.re>.lɑt.tʃɑj.dɑh
Dorsetshire+N+Prop+Der/laš+A+Pl+Gen+PxSg3	Dorsetshirelaččaidis	tˈorə.seh#shˌi.re>.lɑt.tʃɑj.dis
Dorsetshire+N+Prop+Der/laš+A+Pl+Ill+PxSg2	Dorsetshirelaččaidasat	tˈorə.seh#shˌi.re>.lɑt.tʃɑj.dɑ.sɑh
Dorsetshire+N+Prop+Der/laš+A+Pl+Loc+PxDu1	Dorsetshirelaččaineame	tˈorə.seh#shˌi.re>.lɑt.tʃɑj.nĕæ.me
Dorsetshire+N+Prop+Der/laš+A+Pl+Loc+PxPl1	Dorsetshirelaččaineamet	tˈorə.seh#shˌi.re>.lɑt.tʃɑj.nĕæ.meh
Dorsetshire+N+Prop+Der/laš+A+Pl+Nom+PxPl1	Dorsetshirelaččaideamet	tˈorə.seh#shˌi.re>.lɑt.tʃɑj.dĕæ.meh
Dorsetshire+N+Prop+Der/laš+A+Pl+Nom+PxSg1	Dorsetshirelaččaidan	tˈorə.seh#shˌi.re>.lɑt.tʃɑj.dɑn
Dorsetshire+N+Prop+Der/laš+A+Sg+Acc+PxDu2	Dorsetshirelaččade	tˈorə.seh#shˌi.re>.lɑt.tʃɑ.de
Dorsetshire+N+Prop+Der/laš+A+Sg+Acc+PxDu3	Dorsetshirelaččaska	tˈorə.seh#shˌi.re>.lɑt.tʃɑs.kɑ
Dorsetshire+N+Prop+Der/laš+A+Sg+Acc+PxSg3	Dorsetshirelaččas	tˈorə.seh#shˌi.re>.lɑt.tʃɑs
Dorsetshire+N+Prop+Der/laš+A+Sg+Com+PxDu1	Dorsetshirelaččaineame	tˈorə.seh#shˌi.re>.lɑt.tʃɑj.nĕæ.me
Dorsetshire+N+Prop+Der/laš+A+Sg+Com+PxPl2	Dorsetshirelaččaineattet	tˈorə.seh#shˌi.re>.lɑt.tʃɑj.nĕæt.teh
Dorsetshire+N+Prop+Der/laš+A+Sg+Com+PxSg1	Dorsetshirelaččainan	tˈorə.seh#shˌi.re>.lɑt.tʃɑj.nɑn
Dorsetshire+N+Prop+Der/laš+A+Sg+Com+PxSg2	Dorsetshirelaččainat	tˈorə.seh#shˌi.re>.lɑt.tʃɑj.nɑh
Dorsetshire+N+Prop+Der/laš+A+Sg+Gen+PxSg2	Dorsetshirelaččat	tˈorə.seh#shˌi.re>.lɑt.tʃɑh
Dorsetshire+N+Prop+Der/laš+A+Sg+Gen+PxSg3	Dorsetshirelaččas	tˈorə.seh#shˌi.re>.lɑt.tʃɑs
Dorsetshire+N+Prop+Der/laš+A+Sg+Gen	Dorsetshirelačča	tˈorə.seh#shˌi.re>.lɑt.tʃɑ
Dorsetshire+N+Prop+Der/laš+A+Sg+Loc	Dorsetshirelaččas	tˈorə.seh#shˌi.re>.lɑt.tʃɑs
Dorsetshire+N+Prop+Der/laš+A+Sg+Loc+PxDu2	Dorsetshirelaččasteatte	tˈorə.seh#shˌi.re>.lɑt.tʃɑs.tĕæt.te
Dorsetshire+N+Prop+Der/laš+A+Attr	Dorsetshirelaš	tˈorə.seh#shˌi.re>.lɑʃ
Dorsetshire+N+Prop+Der/laš+A+Attr+Der/vuohta+N+Sg+Ill	Dorsetshirelašvuhtii	tˈorə.seh#shˌi.re>.lɑʃ»vˌuh.tij
Dorsetshire+N+Prop+Der/laš+A+Attr+Der/vuohta+N+Sg+Nom+PxPl3	Dorsetshirelašvuohtaset	tˈorə.seh#shˌi.re>.lɑʃ»vˌuoh.tɑ.seh
Dorsetshire+N+Prop+Der/laš+A+Attr+Der/vuohta+N+Der/viđá+Adv	Dorsetshirelašvuohtaviđá	tˈorə.seh#shˌi.re>.lɑʃ»vˌuoh.tɑ»vˌi.ðɑː
Dorsetshire+N+Prop+Der/laš+A+AttrCmp+Der/bealat+A+Der/vuohta+N+Der/viđá+Adv	Dorsetshirelašbealatvuohtaviđá	tˈorə.seh#shˌi.re>.lɑʃ»bˌeæ.lɑh»vˌuoh.tɑ»vˌi.ðɑː
Dorsetshire+N+Prop+Der/laš+A+AttrCmp+Der/fárddat+A+Ess	Dorsetshirelašfárddagin	tˈorə.seh#shˌi.re>.lɑʃ»fˌɑːrt.tɑ.gin
Dorsetshire+N+Prop+Der/laš+A+AttrCmp+Der/heakkat+A+Sg+Gen	Dorsetshirelašheakkaga	tˈorə.seh#shˌi.re>.lɑʃ»hˌeæk.kɑ.gɑ
Dorsetshire+N+Prop+Der/laš+A+AttrCmp+Der/kultuvrrat+A+Ess	Dorsetshirelaškultuvrragin	tˈorə.seh#shˌi.re>.lɑʃ»kˌul.htuvr.rˌɑ.gin
Dorsetshire+N+Prop+Der/laš+A+AttrCmp+Der/kultuvrrat+A+Sg+Acc	Dorsetshirelaškultuvrraga	tˈorə.seh#shˌi.re>.lɑʃ»kˌul.htuvr.rˌɑ.gɑ
Dorsetshire+N+Prop+Der/laš+A+AttrCmp+Der/leakkat+A+Der/vuohta+N+Ess+PxPl1	Dorsetshirelašleakkatvuohtaneamet	tˈorə.seh#shˌi.re>.lɑʃ»lˌeæk.kɑh»vˌuoh.tɑ.nˌĕæ.meh
Dorsetshire+N+Prop+Der/laš+A+AttrCmp+Der/liikkat+A+Sg+Nom	Dorsetshirelašliikkat	tˈorə.seh#shˌi.re>.lɑʃ»lˌijhk.kɑh
Dorsetshire+N+Prop+Der/laš+A+AttrCmp+Der/lunddot+A+Sg+Nom	Dorsetshirelašlunddot	tˈorə.seh#shˌi.re>.lɑʃ»lˌunt.toh
Dorsetshire+N+Prop+Der/laš+A+AttrCmp+Der/láiddat+A+Pl+Loc	Dorsetshirelašláiddagiin	tˈorə.seh#shˌi.re>.lɑʃ»lˌɑːjt.tɑ.gijn
Dorsetshire+N+Prop+Der/laš+A+AttrCmp+Der/šlájat+A+Attr	Dorsetshirelaššlájat	tˈorə.seh#shˌi.re>.lɑʃ»ʃlˌɑː.jɑh
Dorsetshire+N+Prop+Der/laš+A+Sg+Nom	Dorsetshirelaš	tˈorə.seh#shˌi.re>.lɑʃ
Dorsetshire+N+Prop+Der/laš+A+Sg+Gen+PxPl1	Dorsetshirelažžamet	tˈorə.seh#shˌi.re>.lɑdː.tʃɑ.meh
Dorsetshire+N+Prop+Der/laš+A+Sg+Gen+PxSg1	Dorsetshirelažžan	tˈorə.seh#shˌi.re>.lɑdː.tʃɑn
Dorsetshire+N+Prop+Der/laš+A+Sg+Nom+PxPl1	Dorsetshirelažžamet	tˈorə.seh#shˌi.re>.lɑdː.tʃɑ.meh
Dorsetshire+N+Prop+Der/laš+A+Ess+PxSg1	Dorsetshirelažžanan	tˈorə.seh#shˌi.re>.lɑdː.tʃɑ.nɑn
Dorsetshire+N+Prop+Der/laš+A+Ess+PxSg2	Dorsetshirelažžanat	tˈorə.seh#shˌi.re>.lɑdː.tʃɑ.nɑh
Dorsetshire+N+Prop+Der/laš+A+Sg+Ill	Dorsetshirelažžii	tˈorə.seh#shˌi.re>.lɑdː.tʃij
Dorsetshire+N+Prop+Sg+Com	Dorsetshiriin	tˈorə.seh#shˌi.ri>in
Dorsetshire+N+Prop+Sg+Ill	Dorsetshirii	tˈorə.seh#shˌi.ri>i
Gateshead+N+Prop+Ess	Gatesheadan	kˈɑ.tes.heæ.d>ɑn
Gateshead+N+Prop+Sg+Acc	Gateshead	kˈɑ.tes.heæd>
Gateshead+N+Prop+Sg+Gen	Gateshead	kˈɑ.tes.heæd>
Gateshead+N+Prop+Sg+Nom	Gateshead	kˈɑ.tes.heæd>
Gateshead+N+Prop+Sg+Acc	Gatesheada	kˈɑ.tes.heæ.d>ɑ
Gateshead+N+Prop+Sg+Com	Gatesheadain	kˈɑ.tes.heæ.d>ɑjn
Gateshead+N+Prop+Sg+Gen	Gatesheada	kˈɑ.tes.heæ.d>ɑ
Gateshead+N+Prop+Sg+Loc	Gatesheadas	kˈɑ.tes.heæ.d>ɑs
Gateshead+N+Prop+Sg+Ill	Gatesheadii	kˈɑ.tes.heæ.d>ij
Gateshead+N+Prop+Der/laš+A+Pl+Com+PxDu3	Gatesheadalaččaideaskkaguin	kˈɑ.tes.heæ.d>ɑ.lɑt.tʃɑj.deæs.kɑ.gujn
Gateshead+N+Prop+Der/laš+A+Pl+Com	Gatesheadalaččaiguin	kˈɑ.tes.heæ.d>ɑ.lɑt.tʃɑj.gujn
Gateshead+N+Prop+Der/laš+A+Pl+Loc+PxSg1	Gatesheadalaččainan	kˈɑ.tes.heæ.d>ɑ.lɑt.tʃɑj.nɑn
Gateshead+N+Prop+Der/laš+A+Pl+Loc+PxSg3	Gatesheadalaččainis	kˈɑ.tes.heæ.d>ɑ.lɑt.tʃɑj.nis
Gateshead+N+Prop+Der/laš+A+Pl+Nom+PxPl1	Gatesheadalaččaideamet	kˈɑ.tes.heæ.d>ɑ.lɑt.tʃɑj.dĕæ.meh
Gateshead+N+Prop+Der/laš+A+Pl+Nom	Gatesheadalaččat	kˈɑ.tes.heæ.d>ɑ.lɑt.tʃɑh
Gateshead+N+Prop+Der/laš+A+Sg+Acc	Gatesheadalačča	kˈɑ.tes.heæ.d>ɑ.lɑt.tʃɑ
Gateshead+N+Prop+Der/laš+A+Sg+Com+PxPl2	Gatesheadalaččaineattet	kˈɑ.tes.heæ.d>ɑ.lɑt.tʃɑj.nĕæt.teh
Gateshead+N+Prop+Der/laš+A+Sg+Gen+PxPl2	Gatesheadalaččadet	kˈɑ.tes.heæ.d>ɑ.lɑt.tʃɑ.deh
Gateshead+N+Prop+Der/laš+A+Sg+Gen+PxPl3	Gatesheadalaččaset	kˈɑ.tes.heæ.d>ɑ.lɑt.tʃɑ.seh
Gateshead+N+Prop+Der/laš+A+Sg+Loc+PxSg1	Gatesheadalaččastan	kˈɑ.tes.heæ.d>ɑ.lɑt.tʃɑs.tɑn
Gateshead+N+Prop+Der/laš+A+Attr	Gatesheadalaš	kˈɑ.tes.heæ.d>ɑ.lɑʃ
Gateshead+N+Prop+Der/laš+A+Attr+Der/vuohta+N+Der/viđá+Adv	Gatesheadalašvuohtaviđá	kˈɑ.tes.heæ.d>ɑ.lɑʃ»vˌuoh.tɑ»vˌi.ðɑː
Gateshead+N+Prop+Der/laš+A+AttrCmp+Der/lanjat+A+Sg+Gen	Gatesheadalašlanjaga	kˈɑ.tes.heæ.d>ɑ.lɑʃ»lˌɑn.jɑ.gɑ
Gateshead+N+Prop+Der/laš+A+AttrCmp+Der/oasat+A+Pl+Nom	Gatesheadalašoasagat	kˈɑ.tes.heæ.d>ɑ.lɑʃ»ˌoɑ.sɑ.gɑh
Gateshead+N+Prop+Der/laš+A+Sg+Nom	Gatesheadalaš	kˈɑ.tes.heæ.d>ɑ.lɑʃ
Gateshead+N+Prop+Der/laš+A+Sg+Gen+PxPl1	Gatesheadalažžamet	kˈɑ.tes.heæ.d>ɑ.lɑdː.tʃɑ.meh
Gateshead+N+Prop+Der/laš+A+Sg+Nom+PxDu1	Gatesheadalažžame	kˈɑ.tes.heæ.d>ɑ.lɑdː.tʃɑ.me
Gateshead+N+Prop+Der/laš+A+Ess+PxPl3	Gatesheadalažžaneaset	kˈɑ.tes.heæ.d>ɑ.lɑdː.tʃɑ.nĕæ.seh
Gateshead+N+Prop+Der/laš+A+Ess+PxSg1	Gatesheadalažžanan	kˈɑ.tes.heæ.d>ɑ.lɑdː.tʃɑ.nɑn
Gateshead+N+Prop+Der/laš+A+Ess+PxSg3	Gatesheadalažžanis	kˈɑ.tes.heæ.d>ɑ.lɑdː.tʃɑ.nis
Gateshead+N+Prop+Der/laš+A+Sg+Ill	Gatesheadalažžii	kˈɑ.tes.heæ.d>ɑ.lɑdː.tʃij
Gilead+N+Prop+Sem/Mal+Ess	Gileadin	kˈi.leæ.d>in
Gilead+N+Prop+Sem/Mal+Pl+Nom	Gileadat	kˈi.leæ.d>ɑh
Gilead+N+Prop+Sem/Mal+Pl+Ill	Gileadiidda	kˈi.leæ.d>ijt.tɑ
Gilead+N+Prop+Sem/Mal+Sg+Acc	Gilead	kˈi.leæd>
Gilead+N+Prop+Sem/Mal+Sg+Gen+Allegro	Gilead	kˈi.leæd>
Gilead+N+Prop+Sem/Mal+Sg+Nom	Gilead	kˈi.leæd>
Gilead+N+Prop+Sem/Mal+Sg+Acc	Gileada	kˈi.leæ.d>ɑ
Gilead+N+Prop+Sem/Mal+Sg+Gen	Gileada	kˈi.leæ.d>ɑ
Gilead+N+Prop+Sem/Mal+Sg+Com	Gileadiin	kˈi.leæ.d>ijn
Gilead+N+Prop+Sem/Mal+Sg+Ill	Gileadii	kˈi.leæ.d>ij
Gilead+N+Prop+Sem/Mal+Sg+Loc	Gileadis	kˈi.leæ.d>is
Gilead+N+Prop+Sem/Mal+Attr	Gilead	kˈi.leæd>
Gislaved+N+Prop+Ess	Gislavedan	kˈis.lɑː.ve.d>ɑn
Gislaved+N+Prop+Sg+Gen	Gislaved	kˈis.lɑː.ved>
Gislaved+N+Prop+Sg+Nom	Gislaved	kˈis.lɑː.ved>
Gislaved+N+Prop+Sg+Acc	Gislaveda	kˈis.lɑː.ve.d>ɑ
Gislaved+N+Prop+Sg+Com	Gislavedain	kˈis.lɑː.ve.d>ɑjn
Gislaved+N+Prop+Sg+Loc	Gislavedas	kˈis.lɑː.ve.d>ɑs
Gislaved+N+Prop+Sg+Ill	Gislavedii	kˈis.lɑː.ve.d>ij
Gislaved+N+Prop+Der/laš+A+Pl+Acc+PxPl1	Gislavedalaččaideamet	kˈis.lɑː.ve.d>ɑ.lɑt.tʃɑj.dĕæ.meh
Gislaved+N+Prop+Der/laš+A+Pl+Acc+PxSg3	Gislavedalaččaidis	kˈis.lɑː.ve.d>ɑ.lɑt.tʃɑj.dis
Gislaved+N+Prop+Der/laš+A+Pl+Com+PxPl1	Gislavedalaččaideametguin	kˈis.lɑː.ve.d>ɑ.lɑt.tʃɑj.dĕæ.met.gujn
Gislaved+N+Prop+Der/laš+A+Pl+Gen+PxDu1	Gislavedalaččaideame	kˈis.lɑː.ve.d>ɑ.lɑt.tʃɑj.dĕæ.me
Gislaved+N+Prop+Der/laš+A+Pl+Gen+PxPl3	Gislavedalaččaideaset	kˈis.lɑː.ve.d>ɑ.lɑt.tʃɑj.dĕæ.seh
Gislaved+N+Prop+Der/laš+A+Pl+Ill	Gislavedalaččaide	kˈis.lɑː.ve.d>ɑ.lɑt.tʃɑj.de
Gislaved+N+Prop+Der/laš+A+Pl+Nom+PxSg1	Gislavedalaččaidan	kˈis.lɑː.ve.d>ɑ.lɑt.tʃɑj.dɑn
Gislaved+N+Prop+Der/laš+A+Pl+Nom	Gislavedalaččat	kˈis.lɑː.ve.d>ɑ.lɑt.tʃɑh
Gislaved+N+Prop+Der/laš+A+Sg+Acc+PxPl3	Gislavedalaččaset	kˈis.lɑː.ve.d>ɑ.lɑt.tʃɑ.seh
Gislaved+N+Prop+Der/laš+A+Sg+Com+PxDu1	Gislavedalaččaineame	kˈis.lɑː.ve.d>ɑ.lɑt.tʃɑj.nĕæ.me
Gislaved+N+Prop+Der/laš+A+Sg+Com+PxSg2	Gislavedalaččainat	kˈis.lɑː.ve.d>ɑ.lɑt.tʃɑj.nɑh
Gislaved+N+Prop+Der/laš+A+Sg+Com	Gislavedalaččain	kˈis.lɑː.ve.d>ɑ.lɑt.tʃɑjn
Gislaved+N+Prop+Der/laš+A+Sg+Loc+PxSg3	Gislavedalaččastis	kˈis.lɑː.ve.d>ɑ.lɑt.tʃɑs.tis
Gislaved+N+Prop+Der/laš+A+Attr+Der/vuohta+N+Sg+Ill	Gislavedalašvuhtii	kˈis.lɑː.ve.d>ɑ.lɑʃ»vˌuh.tij
Gislaved+N+Prop+Der/laš+A+Sg+Nom	Gislavedalaš	kˈis.lɑː.ve.d>ɑ.lɑʃ
Gislaved+N+Prop+Der/laš+A+Sg+Acc+PxDu1	Gislavedalažžame	kˈis.lɑː.ve.d>ɑ.lɑdː.tʃɑ.me
Gislaved+N+Prop+Der/laš+A+Ess+PxSg2	Gislavedalažžanat	kˈis.lɑː.ve.d>ɑ.lɑdː.tʃɑ.nɑh
Gislaved+N+Prop+Der/laš+A+Ess	Gislavedalažžan	kˈis.lɑː.ve.d>ɑ.lɑdː.tʃɑn
Gislaved+N+Prop+Der/laš+A+Sg+Ill	Gislavedalažžii	kˈis.lɑː.ve.d>ɑ.lɑdː.tʃij
Gloucerstershire+N+Prop+Ess	Gloucerstershiren	glˈou.tserə.ster#shˌi.re>n
Gloucerstershire+N+Prop+Sg+Acc	Gloucerstershire	glˈou.tserə.ster#shˌi.re>
Gloucerstershire+N+Prop+Sg+Gen	Gloucerstershire	glˈou.tserə.ster#shˌi.re>
Gloucerstershire+N+Prop+Sg+Nom	Gloucerstershire	glˈou.tserə.ster#shˌi.re>
Gloucerstershire+N+Prop+Sg+Loc	Gloucerstershires	glˈou.tserə.ster#shˌi.re>s
Gloucerstershire+N+Prop+Der/laš+A+Pl+Com	Gloucerstershirelaččaiguin	glˈou.tserə.ster#shˌi.re>.lɑt.tʃɑj.gujn
Gloucerstershire+N+Prop+Der/laš+A+Pl+Ill	Gloucerstershirelaččaide	glˈou.tserə.ster#shˌi.re>.lɑt.tʃɑj.de
Gloucerstershire+N+Prop+Der/laš+A+Sg+Acc+PxPl3	Gloucerstershirelaččaset	glˈou.tserə.ster#shˌi.re>.lɑt.tʃɑ.seh
Gloucerstershire+N+Prop+Der/laš+A+Sg+Com+PxDu3	Gloucerstershirelaččaineaskka	glˈou.tserə.ster#shˌi.re>.lɑt.tʃɑj.neæs.kɑ
Gloucerstershire+N+Prop+Der/laš+A+Sg+Gen+PxSg2	Gloucerstershirelaččat	glˈou.tserə.ster#shˌi.re>.lɑt.tʃɑh
Gloucerstershire+N+Prop+Der/laš+A+Sg+Loc+PxPl3	Gloucerstershirelaččasteaset	glˈou.tserə.ster#shˌi.re>.lɑt.tʃɑs.tĕæ.seh
Gloucerstershire+N+Prop+Der/laš+A+Attr	Gloucerstershirelaš	glˈou.tserə.ster#shˌi.re>.lɑʃ
Gloucerstershire+N+Prop+Der/laš+A+AttrCmp+Der/dábat+A+Pl+Ill	Gloucerstershirelašdábagiidda	glˈou.tserə.ster#shˌi.re>.lɑʃ»dˌɑː.bɑ.gˌijt.tɑ
Gloucerstershire+N+Prop+Der/laš+A+AttrCmp+Der/luottat+A+Sg+Loc	Gloucerstershirelašluottagis	glˈou.tserə.ster#shˌi.re>.lɑʃ»lˌuot.tɑ.gis
Gloucerstershire+N+Prop+Der/laš+A+AttrCmp+Der/rávnnjat+A+Pl+Nom	Gloucerstershirelašrávnnjagat	glˈou.tserə.ster#shˌi.re>.lɑʃ»rˌɑːvn.ɲɑ.gɑh
Gloucerstershire+N+Prop+Der/laš+A+Sg+Nom	Gloucerstershirelaš	glˈou.tserə.ster#shˌi.re>.lɑʃ
Gloucerstershire+N+Prop+Der/laš+A+Sg+Acc+PxDu1	Gloucerstershirelažžame	glˈou.tserə.ster#shˌi.re>.lɑdː.tʃɑ.me
Gloucerstershire+N+Prop+Der/laš+A+Sg+Ill+PxDu2	Gloucerstershirelažžaseatte	glˈou.tserə.ster#shˌi.re>.lɑdː.tʃɑ.sĕæt.te
Gloucerstershire+N+Prop+Der/laš+A+Sg+Nom+PxPl3	Gloucerstershirelažžaset	glˈou.tserə.ster#shˌi.re>.lɑdː.tʃɑ.seh
Gloucerstershire+N+Prop+Der/laš+A+Ess+PxPl3	Gloucerstershirelažžaneaset	glˈou.tserə.ster#shˌi.re>.lɑdː.tʃɑ.nĕæ.seh
Gloucerstershire+N+Prop+Der/laš+A+Ess+PxSg3	Gloucerstershirelažžanis	glˈou.tserə.ster#shˌi.re>.lɑdː.tʃɑ.nis
Gloucerstershire+N+Prop+Der/laš+A+Sg+Ill	Gloucerstershirelažžii	glˈou.tserə.ster#shˌi.re>.lɑdː.tʃij
Gloucerstershire+N+Prop+Sg+Com	Gloucerstershiriin	glˈou.tserə.ster#shˌi.ri>in
Gloucerstershire+N+Prop+Sg+Ill	Gloucerstershirii	glˈou.tserə.ster#shˌi.ri>i
Grinstead+N+Prop+Ess	Grinsteadan	grˈinː.steæ.d>ɑn
Grinstead+N+Prop+Sg+Acc	Grinstead	grˈinː.steæd>
Grinstead+N+Prop+Sg+Gen	Grinstead	grˈinː.steæd>
Grinstead+N+Prop+Sg+Acc	Grinsteada	grˈinː.steæ.d>ɑ
Grinstead+N+Prop+Sg+Com	Grinsteadain	grˈinː.steæ.d>ɑjn
Grinstead+N+Prop+Sg+Loc	Grinsteadas	grˈinː.steæ.d>ɑs
Grinstead+N+Prop+Sg+Ill	Grinsteadii	grˈinː.steæ.d>ij
Grinstead+N+Prop+Der/laš+A+Pl+Acc+PxDu3	Grinsteadalaččaideaskka	grˈinː.steæ.d>ɑ.lɑt.tʃɑj.deæs.kɑ
Grinstead+N+Prop+Der/laš+A+Pl+Acc+PxSg1	Grinsteadalaččaidan	grˈinː.steæ.d>ɑ.lɑt.tʃɑj.dɑn
Grinstead+N+Prop+Der/laš+A+Pl+Com	Grinsteadalaččaiguin	grˈinː.steæ.d>ɑ.lɑt.tʃɑj.gujn
Grinstead+N+Prop+Der/laš+A+Pl+Ill	Grinsteadalaččaide	grˈinː.steæ.d>ɑ.lɑt.tʃɑj.de
Grinstead+N+Prop+Der/laš+A+Pl+Loc+PxDu3	Grinsteadalaččaineaskka	grˈinː.steæ.d>ɑ.lɑt.tʃɑj.neæs.kɑ
Grinstead+N+Prop+Der/laš+A+Pl+Loc+PxSg3	Grinsteadalaččainis	grˈinː.steæ.d>ɑ.lɑt.tʃɑj.nis
Grinstead+N+Prop+Der/laš+A+Pl+Nom+PxDu1	Grinsteadalaččaideame	grˈinː.steæ.d>ɑ.lɑt.tʃɑj.dĕæ.me
Grinstead+N+Prop+Der/laš+A+Pl+Nom+PxPl1	Grinsteadalaččaideamet	grˈinː.steæ.d>ɑ.lɑt.tʃɑj.dĕæ.meh
Grinstead+N+Prop+Der/laš+A+Pl+Nom+PxSg1	Grinsteadalaččaidan	grˈinː.steæ.d>ɑ.lɑt.tʃɑj.dɑn
Grinstead+N+Prop+Der/laš+A+Sg+Acc+PxPl2	Grinsteadalaččadet	grˈinː.steæ.d>ɑ.lɑt.tʃɑ.deh
Grinstead+N+Prop+Der/laš+A+Sg+Acc+PxSg2	Grinsteadalaččat	grˈinː.steæ.d>ɑ.lɑt.tʃɑh
Grinstead+N+Prop+Der/laš+A+Sg+Acc	Grinsteadalačča	grˈinː.steæ.d>ɑ.lɑt.tʃɑ
Grinstead+N+Prop+Der/laš+A+Sg+Com+PxPl3	Grinsteadalaččaineaset	grˈinː.steæ.d>ɑ.lɑt.tʃɑj.nĕæ.seh
Grinstead+N+Prop+Der/laš+A+Sg+Gen+PxSg2	Grinsteadalaččat	grˈinː.steæ.d>ɑ.lɑt.tʃɑh
Grinstead+N+Prop+Der/laš+A+Attr	Grinsteadalaš	grˈinː.steæ.d>ɑ.lɑʃ
Grinstead+N+Prop+Der/laš+A+Attr+Der/vuohta+N+Sg+Ill	Grinsteadalašvuhtii	grˈinː.steæ.d>ɑ.lɑʃ»vˌuh.tij
Grinstead+N+Prop+Der/laš+A+AttrCmp+Der/jienat+A+Sg+Nom	Grinsteadalašjienat	grˈinː.steæ.d>ɑ.lɑʃ»jˌie.nɑh
Grinstead+N+Prop+Der/laš+A+AttrCmp+Der/pláhtat+A+Attr	Grinsteadalašpláhtat	grˈinː.steæ.d>ɑ.lɑʃ»plˌɑːh.tɑh
Grinstead+N+Prop+Der/laš+A+AttrCmp+Der/ravddat+A+Sg+Nom	Grinsteadalašravddat	grˈinː.steæ.d>ɑ.lɑʃ»rˌɑvt.tɑh
Grinstead+N+Prop+Der/laš+A+AttrCmp+Der/ravddat+A+Der/vuohta+N+Sg+Ill	Grinsteadalašravddatvuhtii	grˈinː.steæ.d>ɑ.lɑʃ»rˌɑvt.tɑh»vˌuh.tij
Grinstead+N+Prop+Der/laš+A+AttrCmp+Der/čiegat+A+Sg+Nom	Grinsteadalaščiegat	grˈinː.steæ.d>ɑ.lɑʃ»tʃˌie.gɑh
Grinstead+N+Prop+Der/laš+A+Sg+Nom	Grinsteadalaš	grˈinː.steæ.d>ɑ.lɑʃ
Grinstead+N+Prop+Der/laš+A+Sg+Acc+PxSg1	Grinsteadalažžan	grˈinː.steæ.d>ɑ.lɑdː.tʃɑn
Grinstead+N+Prop+Der/laš+A+Ess+PxDu1	Grinsteadalažžaneame	grˈinː.steæ.d>ɑ.lɑdː.tʃɑ.nĕæ.me
Grinstead+N+Prop+Der/laš+A+Ess+PxDu2	Grinsteadalažžaneatte	grˈinː.steæ.d>ɑ.lɑdː.tʃɑ.nĕæt.te
Grinstead+N+Prop+Der/laš+A+Ess+PxPl3	Grinsteadalažžaneaset	grˈinː.steæ.d>ɑ.lɑdː.tʃɑ.nĕæ.seh
Grinstead+N+Prop+Der/laš+A+Ess+PxSg3	Grinsteadalažžanis	grˈinː.steæ.d>ɑ.lɑdː.tʃɑ.nis
Grinstead+N+Prop+Der/laš+A+Ess	Grinsteadalažžan	grˈinː.steæ.d>ɑ.lɑdː.tʃɑn
Grinstead+N+Prop+Der/laš+A+Sg+Ill	Grinsteadalažžii	grˈinː.steæ.d>ɑ.lɑdː.tʃij
Hampshire+N+Prop+Ess	Hampshiren	hˈɑmp#shˌi.re>n
Hampshire+N+Prop+Sg+Acc	Hampshire	hˈɑmp#shˌi.re>
Hampshire+N+Prop+Sg+Gen	Hampshire	hˈɑmp#shˌi.re>
Hampshire+N+Prop+Sg+Nom	Hampshire	hˈɑmp#shˌi.re>
Hampshire+N+Prop+Sg+Loc	Hampshires	hˈɑmp#shˌi.re>s
Hampshire+N+Prop+Der/laš+A+Pl+Acc+PxPl1	Hampshirelaččaideamet	hˈɑmp#shˌi.re>.lɑt.tʃɑj.dĕæ.meh
Hampshire+N+Prop+Der/laš+A+Pl+Gen+PxSg3	Hampshirelaččaidis	hˈɑmp#shˌi.re>.lɑt.tʃɑj.dis
Hampshire+N+Prop+Der/laš+A+Pl+Gen	Hampshirelaččaid	hˈɑmp#shˌi.re>.lɑt.tʃɑjh
