Aachen+N+Prop+Ess	Aachenin	ˈɑːts.he.n>in
Burdigala+N+Prop+Sg+Ill	Burdigalai	pˈurː.ti.gˌɑ.lɑ>i
Burdigala+N+Prop+Sg+Loc	Burdigalas	pˈurː.ti.gˌɑ.lɑ>s
Caligula+N+Prop+Ess	Caligulan	tsˈɑ.li.gˌu.lɑ>n
Caligula+N+Prop+Sg+Acc	Caligula	tsˈɑ.li.gˌu.lɑ>
Caligula+N+Prop+Sg+Gen	Caligula	tsˈɑ.li.gˌu.lɑ>
Caligula+N+Prop+Sg+Nom	Caligula	tsˈɑ.li.gˌu.lɑ>
Caligula+N+Prop+Sg+Com	Caligulain	tsˈɑ.li.gˌu.lɑ>in
Caligula+N+Prop+Sg+Ill	Caligulai	tsˈɑ.li.gˌu.lɑ>i
Caligula+N+Prop+Sg+Loc	Caligulas	tsˈɑ.li.gˌu.lɑ>s
Dalila+N+Prop+Ess	Dalilan	tˈɑ.li.lɑ>n
Dalila+N+Prop+Sg+Acc	Dalila	tˈɑ.li.lɑ>
Dalila+N+Prop+Sg+Gen	Dalila	tˈɑ.li.lɑ>
Dalila+N+Prop+Sg+Nom	Dalila	tˈɑ.li.lɑ>
Dalila+N+Prop+Sg+Com	Dalilain	tˈɑ.li.lɑ>in
Dalila+N+Prop+Sg+Ill	Dalilai	tˈɑ.li.lɑ>i
Dalila+N+Prop+Sg+Loc	Dalilas	tˈɑ.li.lɑ>s
Delila+N+Prop+Ess	Delilan	tˈe.li.lɑ>n
Delila+N+Prop+Sg+Acc	Delila	tˈe.li.lɑ>
Delila+N+Prop+Sg+Gen	Delila	tˈe.li.lɑ>
Delila+N+Prop+Sg+Nom	Delila	tˈe.li.lɑ>
Delila+N+Prop+Sg+Com	Delilain	tˈe.li.lɑ>in
Delila+N+Prop+Sg+Ill	Delilai	tˈe.li.lɑ>i
Delila+N+Prop+Sg+Loc	Delilas	tˈe.li.lɑ>s
Denebola+N+Prop+Ess	Denebolan	tˈe.ne.bˌo.lɑ>n
Denebola+N+Prop+Sg+Acc	Denebola	tˈe.ne.bˌo.lɑ>
Denebola+N+Prop+Sg+Gen	Denebola	tˈe.ne.bˌo.lɑ>
Denebola+N+Prop+Sg+Nom	Denebola	tˈe.ne.bˌo.lɑ>
Denebola+N+Prop+Sg+Com	Denebolain	tˈe.ne.bˌo.lɑ>in
Denebola+N+Prop+Sg+Ill	Denebolai	tˈe.ne.bˌo.lɑ>i
Denebola+N+Prop+Sg+Loc	Denebolas	tˈe.ne.bˌo.lɑ>s
Dervola+N+Prop+Sem/Sur+Ess	Dervolan	tˈerː.vo.lɑ>n
Dervola+N+Prop+Sem/Sur+Pl+Acc	Dervolaid	tˈerː.vo.lɑ>id
Dervola+N+Prop+Sem/Sur+Pl+Com	Dervolaiguin	tˈerː.vo.lɑ>i.gujn
Dervola+N+Prop+Sem/Sur+Pl+Loc	Dervolain	tˈerː.vo.lɑ>in
Dervola+N+Prop+Sem/Sur+Pl+Nom	Dervolat	tˈerː.vo.lɑ>h
Dervola+N+Prop+Sem/Sur+Sg+Acc	Dervola	tˈerː.vo.lɑ>
Dervola+N+Prop+Sem/Sur+Sg+Gen	Dervola	tˈerː.vo.lɑ>
Dervola+N+Prop+Sem/Sur+Sg+Nom	Dervola	tˈerː.vo.lɑ>
Dervola+N+Prop+Sem/Sur+Sg+Com	Dervolain	tˈerː.vo.lɑ>in
Dervola+N+Prop+Sem/Sur+Sg+Loc	Dervolas	tˈerː.vo.lɑ>s
Dongala+N+Prop+Ess	Dongalan	tˈoŋ.ŋɑ.lɑ>n
Dongala+N+Prop+Sg+Acc	Dongala	tˈoŋ.ŋɑ.lɑ>
Dongala+N+Prop+Sg+Gen	Dongala	tˈoŋ.ŋɑ.lɑ>
Dongala+N+Prop+Sg+Nom	Dongala	tˈoŋ.ŋɑ.lɑ>
Dongala+N+Prop+Sg+Com	Dongalain	tˈoŋ.ŋɑ.lɑ>in
Dongala+N+Prop+Sg+Ill	Dongalai	tˈoŋ.ŋɑ.lɑ>i
Dongala+N+Prop+Sg+Loc	Dongalas	tˈoŋ.ŋɑ.lɑ>s
Dracula+N+Prop+Sem/Mal+Ess	Draculan	drˈɑ.tsu.lɑ>n
Dracula+N+Prop+Sem/Mal+Pl+Acc	Draculaid	drˈɑ.tsu.lɑ>id
Dracula+N+Prop+Sem/Mal+Pl+Gen	Draculaid	drˈɑ.tsu.lɑ>id
Dracula+N+Prop+Sem/Mal+Pl+Ill	Draculaide	drˈɑ.tsu.lɑ>i.de
Dracula+N+Prop+Sem/Mal+Pl+Loc	Draculain	drˈɑ.tsu.lɑ>in
Dracula+N+Prop+Sem/Mal+Pl+Nom	Draculat	drˈɑ.tsu.lɑ>h
Dracula+N+Prop+Sem/Mal+Sg+Gen	Dracula	drˈɑ.tsu.lɑ>
Dracula+N+Prop+Sem/Mal+Sg+Nom	Dracula	drˈɑ.tsu.lɑ>
Dracula+N+Prop+Sem/Mal+Sg+Com	Draculain	drˈɑ.tsu.lɑ>in
Dracula+N+Prop+Sem/Mal+Sg+Ill	Draculai	drˈɑ.tsu.lɑ>i
Dracula+N+Prop+Sem/Mal+Sg+Loc	Draculas	drˈɑ.tsu.lɑ>s
Dracula+N+Prop+Sem/Mal+Attr	Dracula	drˈɑ.tsu.lɑ>
Dracula+N+Prop+Sem/Mal+Der/Dimin+Sg+Nom	Draculaš	drˈɑ.tsu.lɑ>ʃ
Dracula+N+Prop+Sem/Mal+Der/Dimin+Ess	Draculažin	drˈɑ.tsu.lɑ>.žin
Dracula+N+Prop+Sem/Mal+Der/Dimin+Pl+Nom	Draculažat	drˈɑ.tsu.lɑ>.žɑh
Dracula+N+Prop+Sem/Mal+Der/Dimin+Sg+Acc	Draculaža	drˈɑ.tsu.lɑ>.žɑ
Dracula+N+Prop+Sem/Mal+Der/Dimin+Sg+Gen	Draculaža	drˈɑ.tsu.lɑ>.žɑ
Dracula+N+Prop+Sem/Mal+Der/Dimin+Pl+Gen	Draculažiid	drˈɑ.tsu.lɑ>.žijh
Dracula+N+Prop+Sem/Mal+Der/Dimin+Pl+Ill	Draculažiidda	drˈɑ.tsu.lɑ>.žijt.tɑ
Ebola+N+Prop+Ess	Ebolan	ˈe.bo.lɑ>n
Ebola+N+Prop+Pl+Com	Ebolaiguin	ˈe.bo.lɑ>i.gujn
Ebola+N+Prop+Pl+Gen	Ebolaid	ˈe.bo.lɑ>id
Ebola+N+Prop+Pl+Ill	Ebolaide	ˈe.bo.lɑ>i.de
Ebola+N+Prop+Pl+Nom	Ebolat	ˈe.bo.lɑ>h
Ebola+N+Prop+Sg+Gen	Ebola	ˈe.bo.lɑ>
Ebola+N+Prop+Sg+Nom	Ebola	ˈe.bo.lɑ>
Ebola+N+Prop+Sg+Com	Ebolain	ˈe.bo.lɑ>in
Ebola+N+Prop+Sg+Ill	Ebolai	ˈe.bo.lɑ>i
Ebola+N+Prop+Sg+Loc	Ebolas	ˈe.bo.lɑ>s
Eerikkilä+N+Prop+Sg+Nom	Eerikkilä	ˈeː.rik.kˌi.læ>
Eerikäinen+N+Prop+Sem/Sur+Sg+Nom	Eerikäinen	ˈeː.ri.kæj>.nen
Eerikäinen+N+Prop+Sem/Sur+Sg+Acc	Eerikäinena	ˈeː.ri.kæj>.ne.nɑ
Eerikäinen+N+Prop+Sem/Sur+Sg+Ill	Eerikäinenii	ˈeː.ri.kæj>.ne.nij
Eerikäinen+N+Prop+Sem/Sur+Pl+Nom	Eerikäisat	ˈeː.ri.kæj>.sɑh
Eerikäinen+N+Prop+Sem/Sur+Pl+Ill	Eerikäisiidda	ˈeː.ri.kæj>.sijt.tɑ
Eerikäinen+N+Prop+Sem/Sur+Sg+Gen	Eerikäisa	ˈeː.ri.kæj>.sɑ
Eerola+N+Prop+Sem/Sur+Ess	Eerolan	ˈeː.ro.lɑ>n
Eerola+N+Prop+Sem/Sur+Pl+Nom	Eerolat	ˈeː.ro.lɑ>h
Eerola+N+Prop+Sem/Sur+Sg+Acc	Eerola	ˈeː.ro.lɑ>
Eerola+N+Prop+Sem/Sur+Sg+Ill	Eerolai	ˈeː.ro.lɑ>i
Eerola+N+Prop+Sem/Sur+Sg+Loc	Eerolas	ˈeː.ro.lɑ>s
Eestilä+N+Prop+Sem/Sur+Ess	Eestilän	ˈĕesː.ti.læ>n
Eestilä+N+Prop+Sem/Sur+Pl+Acc	Eestiläid	ˈĕesː.ti.læ>id
Eestilä+N+Prop+Sem/Sur+Pl+Com	Eestiläiguin	ˈĕesː.ti.læ>i.gujn
Eestilä+N+Prop+Sem/Sur+Pl+Gen	Eestiläid	ˈĕesː.ti.læ>id
Eestilä+N+Prop+Sem/Sur+Pl+Loc	Eestiläin	ˈĕesː.ti.læ>in
Eestilä+N+Prop+Sem/Sur+Pl+Nom	Eestilät	ˈĕesː.ti.læ>h
Eestilä+N+Prop+Sem/Sur+Sg+Acc	Eestilä	ˈĕesː.ti.læ>
Eestilä+N+Prop+Sem/Sur+Sg+Gen	Eestilä	ˈĕesː.ti.læ>
Eestilä+N+Prop+Sem/Sur+Sg+Com	Eestiläin	ˈĕesː.ti.læ>in
Eestilä+N+Prop+Sem/Sur+Sg+Loc	Eestiläs	ˈĕesː.ti.læ>s
Ehrukainen+N+Prop+Sem/Sur+Pl+Nom	Ehrukainenat	ˈeh.ru.kɑj>.ne.nɑh
Ehrukainen+N+Prop+Sem/Sur+Pl+Gen	Ehrukaineniid	ˈeh.ru.kɑj>.ne.nijh
Ehrukainen+N+Prop+Sem/Sur+Pl+Loc	Ehrukaineniin	ˈeh.ru.kɑj>.ne.nijn
Ehrukainen+N+Prop+Sem/Sur+Sg+Gen+Allegro	Ehrukainen	ˈeh.ru.kɑj>.nen
Ehrukainen+N+Prop+Sem/Sur+Sg+Nom	Ehrukainen	ˈeh.ru.kɑj>.nen
Ehrukainen+N+Prop+Sem/Sur+Sg+Gen	Ehrukainena	ˈeh.ru.kɑj>.ne.nɑ
Ehrukainen+N+Prop+Sem/Sur+Pl+Nom	Ehrukaisat	ˈeh.ru.kɑj>.sɑh
Ehrukainen+N+Prop+Sem/Sur+Pl+Gen	Ehrukaisiid	ˈeh.ru.kɑj>.sijh
Ehrukainen+N+Prop+Sem/Sur+Sg+Acc	Ehrukaisa	ˈeh.ru.kɑj>.sɑ
Ehrukainen+N+Prop+Sem/Sur+Sg+Com	Ehrukaisiin	ˈeh.ru.kɑj>.sijn
Ehrukainen+N+Prop+Sem/Sur+Sg+Ill	Ehrukaisii	ˈeh.ru.kɑj>.sij
Ehrukainen+N+Prop+Sem/Sur+Sg+Loc	Ehrukaisis	ˈeh.ru.kɑj>.sis
Eila+N+Prop+Sem/Fem+Pl+Ill	Eilaide	ˈejː.lɑ>i.de
Eila+N+Prop+Sem/Fem+Sg+Acc	Eila	ˈejː.lɑ>
Eila+N+Prop+Sem/Fem+Sg+Gen	Eila	ˈejː.lɑ>
Eila+N+Prop+Sem/Fem+Sg+Nom	Eila	ˈejː.lɑ>
Eila+N+Prop+Sem/Fem+Sg+Com	Eilain	ˈejː.lɑ>in
Eila+N+Prop+Sem/Fem+Sg+Ill	Eilai	ˈejː.lɑ>i
Eila+N+Prop+Sem/Fem+Attr	Eila	ˈejː.lɑ>
Eilola+N+Prop+Sem/Sur+Ess	Eilolan	ˈejː.lo.lɑ>n
Eilola+N+Prop+Sem/Sur+Pl+Nom	Eilolat	ˈejː.lo.lɑ>h
Eilola+N+Prop+Sem/Sur+Sg+Nom	Eilola	ˈejː.lo.lɑ>
Einola+N+Prop+Sem/Sur+Ess	Einolan	ˈej.no.lɑ>n
Einola+N+Prop+Sem/Sur+Pl+Gen	Einolaid	ˈej.no.lɑ>id
Einola+N+Prop+Sem/Sur+Pl+Ill	Einolaide	ˈej.no.lɑ>i.de
Einola+N+Prop+Sem/Sur+Pl+Nom	Einolat	ˈej.no.lɑ>h
Einola+N+Prop+Sem/Sur+Sg+Nom	Einola	ˈej.no.lɑ>
Einola+N+Prop+Sem/Sur+Sg+Com	Einolain	ˈej.no.lɑ>in
Einola+N+Prop+Sem/Sur+Sg+Ill	Einolai	ˈej.no.lɑ>i
Einola+N+Prop+Sem/Sur+Sg+Loc	Einolas	ˈej.no.lɑ>s
Ekola+N+Prop+Sem/Sur+Ess	Ekolan	ˈe.ko.lɑ>n
Ekola+N+Prop+Sem/Sur+Pl+Acc	Ekolaid	ˈe.ko.lɑ>id
Ekola+N+Prop+Sem/Sur+Pl+Gen	Ekolaid	ˈe.ko.lɑ>id
Ekola+N+Prop+Sem/Sur+Pl+Nom	Ekolat	ˈe.ko.lɑ>h
Ekola+N+Prop+Sem/Sur+Sg+Acc	Ekola	ˈe.ko.lɑ>
Ekola+N+Prop+Sem/Sur+Sg+Com	Ekolain	ˈe.ko.lɑ>in
Ekola+N+Prop+Sem/Sur+Sg+Ill	Ekolai	ˈe.ko.lɑ>i
Ekola+N+Prop+Sem/Sur+Sg+Loc	Ekolas	ˈe.ko.lɑ>s
Ekonen+N+Prop+Sem/Sur+Ess	Ekonenin	ˈe.ko>.ne.nin
Ekonen+N+Prop+Sem/Sur+Pl+Nom	Ekonenat	ˈe.ko>.ne.nɑh
Ekonen+N+Prop+Sem/Sur+Pl+Gen	Ekoneniid	ˈe.ko>.ne.nijh
Ekonen+N+Prop+Sem/Sur+Pl+Loc	Ekoneniin	ˈe.ko>.ne.nijn
Ekonen+N+Prop+Sem/Sur+Sg+Acc	Ekonena	ˈe.ko>.ne.nɑ
Ekonen+N+Prop+Sem/Sur+Sg+Loc	Ekonenis	ˈe.ko>.ne.nis
Ekonen+N+Prop+Sem/Sur+Pl+Nom	Ekosat	ˈe.ko>.sɑh
Ekonen+N+Prop+Sem/Sur+Sg+Acc	Ekosa	ˈe.ko>.sɑ
Ekonen+N+Prop+Sem/Sur+Sg+Com	Ekosiin	ˈe.ko>.sijn
Eleviina+N+Prop+Sem/Fem+Pl+Acc	Eleviinaid	ˈe.le.vˌij.nɑ>id
Eleviina+N+Prop+Sem/Fem+Sg+Com	Eleviinain	ˈe.le.vˌij.nɑ>in
Eleviina+N+Prop+Sem/Fem+Attr	Eleviina	ˈe.le.vˌij.nɑ>
Eleviina+N+Prop+Sem/Fem+Der/Dimin+Sg+Nom	Eleviinaš	ˈe.le.vˌij.nɑ>ʃ
Eleviina+N+Prop+Sem/Fem+Der/Dimin+Ess	Eleviinažin	ˈe.le.vˌij.nɑ>.žin
Eleviina+N+Prop+Sem/Fem+Der/Dimin+Pl+Nom	Eleviinažat	ˈe.le.vˌij.nɑ>.žɑh
Ellonen+N+Prop+Sem/Sur+Ess	Ellonenin	ˈel.lo>.ne.nin
Elomaa+N+Prop+Sem/Sur+Ess	Elomaan	ˈe.lo#mɑː>n
Elomaa+N+Prop+Sem/Sur+Pl+Nom	Elomaat	ˈe.lo#mɑː>h
Elomaa+N+Prop+Sem/Sur+Sg+Gen	Elomaa	ˈe.lo#mɑː>
Elomäki+N+Prop+Sem/Sur+Pl+Nom	Elomäkt	ˈe.lo#mæk>h
Elonen+N+Prop+Sem/Sur+Pl+Nom	Elonenat	ˈe.lo>.ne.nɑh
Elonen+N+Prop+Sem/Sur+Sg+Acc	Elonen	ˈe.lo>.nen
Elonen+N+Prop+Sem/Sur+Ess	Elosin	ˈe.lo>.sin
Elonen+N+Prop+Sem/Sur+Pl+Loc	Elosiin	ˈe.lo>.sijn
Eloranta+N+Prop+Sem/Sur+Sg+Acc	Eloranta	ˈe.lo#rˌɑnː.tɑ>
Elovirta+N+Prop+Sem/Sur+Sg+Ill	Elovirtai	ˈe.lo#vˌirː.tɑ>i
Elsilä+N+Prop+Sem/Sur+Sg+Acc	Elsilä	ˈelː.si.læ>
Elsilä+N+Prop+Sem/Sur+Sg+Ill	Elsiläi	ˈelː.si.læ>i
Elsilä+N+Prop+Sem/Sur+Sg+Loc	Elsiläs	ˈelː.si.læ>s
Enojärvi+N+Prop+Sem/Sur+Ess	Enojärvn	ˈe.no#jærv>n
Enojärvi+N+Prop+Sem/Sur+Pl+Acc	Enojärvjd	ˈe.no#jærv>jd
Enojärvi+N+Prop+Sem/Sur+Pl+Com	Enojärvjguin	ˈe.no#jærv>jgujn
Enojärvi+N+Prop+Sem/Sur+Pl+Ill	Enojärvjde	ˈe.no#jærv>jde
Enojärvi+N+Prop+Sem/Sur+Pl+Loc	Enojärvjn	ˈe.no#jærv>jn
Enojärvi+N+Prop+Sem/Sur+Pl+Nom	Enojärvt	ˈe.no#jærv>h
Enojärvi+N+Prop+Sem/Sur+Sg+Acc	Enojärv	ˈe.no#jærv>
Enojärvi+N+Prop+Sem/Sur+Sg+Gen	Enojärv	ˈe.no#jærv>
Enojärvi+N+Prop+Sem/Sur+Sg+Ill	Enojärvj	ˈe.no#jærv>j
Enojärvi+N+Prop+Sem/Sur+Sg+Loc	Enojärvs	ˈe.no#jærv>s
Erkkilä+N+Prop+Sem/Sur+Ess	Erkkilän	ˈerk.ki.læ>n
Erkkilä+N+Prop+Sem/Sur+Pl+Ill	Erkkiläide	ˈerk.ki.læ>i.de
Erkkilä+N+Prop+Sem/Sur+Pl+Nom	Erkkilät	ˈerk.ki.læ>h
Erkkilä+N+Prop+Sem/Sur+Sg+Acc	Erkkilä	ˈerk.ki.læ>
Erkkilä+N+Prop+Sem/Sur+Sg+Nom	Erkkilä	ˈerk.ki.læ>
Erkkilä+N+Prop+Sem/Sur+Sg+Com	Erkkiläin	ˈerk.ki.læ>in
Erkkilä+N+Prop+Sem/Sur+Sg+Ill	Erkkiläi	ˈerk.ki.læ>i
Erkkilä+N+Prop+Sem/Sur+Sg+Loc	Erkkiläs	ˈerk.ki.læ>s
Erola+N+Prop+Sem/Sur+Ess	Erolan	ˈe.ro.lɑ>n
Erola+N+Prop+Sem/Sur+Pl+Acc	Erolaid	ˈe.ro.lɑ>id
Erola+N+Prop+Sem/Sur+Pl+Com	Erolaiguin	ˈe.ro.lɑ>i.gujn
Erola+N+Prop+Sem/Sur+Pl+Gen	Erolaid	ˈe.ro.lɑ>id
Erola+N+Prop+Sem/Sur+Sg+Com	Erolain	ˈe.ro.lɑ>in
Eronen+N+Prop+Sem/Sur+Pl+Acc	Eroneniid	ˈe.ro>.ne.nijh
Eronen+N+Prop+Sem/Sur+Ess	Erosin	ˈe.ro>.sin
Eronen+N+Prop+Sem/Sur+Sg+Acc	Erosa	ˈe.ro>.sɑ
Eränen+N+Prop+Sem/Sur+Ess	Eränenin	ˈe.ræ>.ne.nin
Eränen+N+Prop+Sem/Sur+Pl+Com	Eräneniiguin	ˈe.ræ>.ne.nij.gujn
Eränen+N+Prop+Sem/Sur+Pl+Loc	Eräneniin	ˈe.ræ>.ne.nijn
Eränen+N+Prop+Sem/Sur+Sg+Acc	Eränena	ˈe.ræ>.ne.nɑ
Eränen+N+Prop+Sem/Sur+Sg+Ill	Eränenii	ˈe.ræ>.ne.nij
Eränen+N+Prop+Sem/Sur+Ess	Eräsin	ˈe.ræ>.sin
Eränen+N+Prop+Sem/Sur+Pl+Nom	Eräsat	ˈe.ræ>.sɑh
Eränen+N+Prop+Sem/Sur+Sg+Acc	Eräsa	ˈe.ræ>.sɑ
Eskelinen+N+Prop+Sem/Sur+Sg+Acc	Eskelinena	ˈesː.ke.li>.ne.nɑ
Eskelinen+N+Prop+Sem/Sur+Ess	Eskelisin	ˈesː.ke.li>.sin
Eskelinen+N+Prop+Sem/Sur+Pl+Gen	Eskelisiid	ˈesː.ke.li>.sijh
Eskelinen+N+Prop+Sem/Sur+Sg+Gen	Eskelisa	ˈesː.ke.li>.sɑ
Eskola+N+Prop+Sem/Sur+Sg+Gen	Eskola	ˈesː.ko.lɑ>
Eskola+N+Prop+Sem/Sur+Sg+Ill	Eskolai	ˈesː.ko.lɑ>i
Eskola+N+Prop+Sem/Sur+Sg+Loc	Eskolas	ˈesː.ko.lɑ>s
Eskonen+N+Prop+Sem/Sur+Pl+Gen	Eskoneniid	ˈesː.ko>.ne.nijh
Eskonen+N+Prop+Sem/Sur+Sg+Gen	Eskonena	ˈesː.ko>.ne.nɑ
Eskonen+N+Prop+Sem/Sur+Ess	Eskosin	ˈesː.ko>.sin
Eskonen+N+Prop+Sem/Sur+Pl+Nom	Eskosat	ˈesː.ko>.sɑh
Estola+N+Prop+Sem/Sur+Ess	Estolan	ˈesː.to.lɑ>n
Estola+N+Prop+Sem/Sur+Pl+Acc	Estolaid	ˈesː.to.lɑ>id
Estola+N+Prop+Sem/Sur+Pl+Com	Estolaiguin	ˈesː.to.lɑ>i.gujn
Estola+N+Prop+Sem/Sur+Pl+Nom	Estolat	ˈesː.to.lɑ>h
Estola+N+Prop+Sem/Sur+Sg+Nom	Estola	ˈesː.to.lɑ>
Estola+N+Prop+Sem/Sur+Sg+Com	Estolain	ˈesː.to.lɑ>in
Estola+N+Prop+Sem/Sur+Sg+Ill	Estolai	ˈesː.to.lɑ>i
Estola+N+Prop+Sem/Sur+Sg+Loc	Estolas	ˈesː.to.lɑ>s
Eteläaho+N+Prop+Sem/Sur+Pl+Gen	Eteläahoid	ˈe.te.læ#ˌɑ.ho>id
Eteläaho+N+Prop+Sem/Sur+Sg+Acc	Eteläaho	ˈe.te.læ#ˌɑ.ho>
Eteläaho+N+Prop+Sem/Sur+Sg+Com	Eteläahoin	ˈe.te.læ#ˌɑ.ho>in
Eteläaho+N+Prop+Sem/Sur+Sg+Loc	Eteläahos	ˈe.te.læ#ˌɑ.ho>s
Eteläinen+N+Prop+Sem/Sur+Sg+Acc	Eteläinena	ˈe.te.læj>.ne.nɑ
Eteläinen+N+Prop+Sem/Sur+Ess	Eteläisin	ˈe.te.læj>.sin
Eteläinen+N+Prop+Sem/Sur+Pl+Ill	Eteläisiidda	ˈe.te.læj>.sijt.tɑ
Eteläinen+N+Prop+Sem/Sur+Sg+Acc	Eteläisa	ˈe.te.læj>.sɑ
Eteläinen+N+Prop+Sem/Sur+Sg+Ill	Eteläisii	ˈe.te.læj>.sij
Etelämäki+N+Prop+Ess	Etelämäkn	ˈe.te.læ#mæk>n
Etelämäki+N+Prop+Sg+Acc	Etelämäk	ˈe.te.læ#mæk>
Etelämäki+N+Prop+Sg+Loc	Etelämäks	ˈe.te.læ#mæk>s
Eteläpää+N+Prop+Sg+Acc	Eteläpää	ˈe.te.læ#pææ>
Ettanen+N+Prop+Sem/Sur+Pl+Nom	Ettanenat	ˈet.tɑ>.ne.nɑh
Ettanen+N+Prop+Sem/Sur+Sg+Acc	Ettanen	ˈet.tɑ>.nen
Ettanen+N+Prop+Sem/Sur+Sg+Acc	Ettanena	ˈet.tɑ>.ne.nɑ
Ettanen+N+Prop+Sem/Sur+Sg+Gen	Ettanena	ˈet.tɑ>.ne.nɑ
Ettanen+N+Prop+Sem/Sur+Ess	Ettasin	ˈet.tɑ>.sin
Ettanen+N+Prop+Sem/Sur+Pl+Loc	Ettasiin	ˈet.tɑ>.sijn
Ettanen+N+Prop+Sem/Sur+Sg+Acc	Ettasa	ˈet.tɑ>.sɑ
Ettanen+N+Prop+Sem/Sur+Sg+Gen	Ettasa	ˈet.tɑ>.sɑ
Ettanen+N+Prop+Sem/Sur+Sg+Ill	Ettasii	ˈet.tɑ>.sij
Ettanen+N+Prop+Sem/Sur+Sg+Loc	Ettasis	ˈet.tɑ>.sis
Eveliina+N+Prop+Sem/Fem+Ess	Eveliinan	ˈe.ve.lˌij.nɑ>n
Eveliina+N+Prop+Sem/Fem+Pl+Com	Eveliinaiguin	ˈe.ve.lˌij.nɑ>i.gujn
Eveliina+N+Prop+Sem/Fem+Pl+Ill	Eveliinaide	ˈe.ve.lˌij.nɑ>i.de
Eveliina+N+Prop+Sem/Fem+Pl+Nom	Eveliinat	ˈe.ve.lˌij.nɑ>h
Eveliina+N+Prop+Sem/Fem+Sg+Ill	Eveliinai	ˈe.ve.lˌij.nɑ>i
Eveliina+N+Prop+Sem/Fem+Sg+Loc	Eveliinas	ˈe.ve.lˌij.nɑ>s
Eveliina+N+Prop+Sem/Fem+Attr	Eveliina	ˈe.ve.lˌij.nɑ>
Eveliina+N+Prop+Sem/Fem+Der/Dimin+Pl+Nom	Eveliinažat	ˈe.ve.lˌij.nɑ>.žɑh
Eveliina+N+Prop+Sem/Fem+Der/Dimin+Pl+Com	Eveliinažiiguin	ˈe.ve.lˌij.nɑ>.žij.gujn
Eveliina+N+Prop+Sem/Fem+Der/Dimin+Sg+Ill	Eveliinažii	ˈe.ve.lˌij.nɑ>.žij
Fanuela+N+Prop+Ess	Fanuelan	fˈɑ.nue.lɑ>n
Fanuela+N+Prop+Sg+Acc	Fanuela	fˈɑ.nue.lɑ>
Fanuela+N+Prop+Sg+Gen	Fanuela	fˈɑ.nue.lɑ>
Fanuela+N+Prop+Sg+Nom	Fanuela	fˈɑ.nue.lɑ>
Fanuela+N+Prop+Sg+Com	Fanuelain	fˈɑ.nue.lɑ>in
Fanuela+N+Prop+Sg+Ill	Fanuelai	fˈɑ.nue.lɑ>i
Fanuela+N+Prop+Sg+Loc	Fanuelas	fˈɑ.nue.lɑ>s
Filppula+N+Prop+Sem/Sur+Ess	Filppulan	fˈilp.pu.lɑ>n
Filppula+N+Prop+Sem/Sur+Pl+Acc	Filppulaid	fˈilp.pu.lɑ>id
Filppula+N+Prop+Sem/Sur+Pl+Com	Filppulaiguin	fˈilp.pu.lɑ>i.gujn
Filppula+N+Prop+Sem/Sur+Pl+Gen	Filppulaid	fˈilp.pu.lɑ>id
Filppula+N+Prop+Sem/Sur+Pl+Ill	Filppulaide	fˈilp.pu.lɑ>i.de
Filppula+N+Prop+Sem/Sur+Pl+Nom	Filppulat	fˈilp.pu.lɑ>h
Filppula+N+Prop+Sem/Sur+Sg+Acc	Filppula	fˈilp.pu.lɑ>
Filppula+N+Prop+Sem/Sur+Sg+Gen	Filppula	fˈilp.pu.lɑ>
Filppula+N+Prop+Sem/Sur+Sg+Nom	Filppula	fˈilp.pu.lɑ>
Filppula+N+Prop+Sem/Sur+Sg+Com	Filppulain	fˈilp.pu.lɑ>in
Filppula+N+Prop+Sem/Sur+Sg+Ill	Filppulai	fˈilp.pu.lɑ>i
Filppula+N+Prop+Sem/Sur+Sg+Loc	Filppulas	fˈilp.pu.lɑ>s
Finnilä+N+Prop+Sem/Sur+Ess	Finnilän	fˈin.ni.læ>n
Finnilä+N+Prop+Sem/Sur+Pl+Acc	Finniläid	fˈin.ni.læ>id
Finnilä+N+Prop+Sem/Sur+Pl+Ill	Finniläide	fˈin.ni.læ>i.de
Finnilä+N+Prop+Sem/Sur+Pl+Nom	Finnilät	fˈin.ni.læ>h
Finnilä+N+Prop+Sem/Sur+Sg+Acc	Finnilä	fˈin.ni.læ>
Finnilä+N+Prop+Sem/Sur+Sg+Gen	Finnilä	fˈin.ni.læ>
Finnilä+N+Prop+Sem/Sur+Sg+Nom	Finnilä	fˈin.ni.læ>
Finnilä+N+Prop+Sem/Sur+Sg+Com	Finniläin	fˈin.ni.læ>in
Finnilä+N+Prop+Sem/Sur+Sg+Ill	Finniläi	fˈin.ni.læ>i
Finnilä+N+Prop+Sem/Sur+Sg+Loc	Finniläs	fˈin.ni.læ>s
Formula+N+Prop+Ess	Formulan	fˈor.mu.lɑ>n
Formula+N+Prop+Pl+Acc	Formulaid	fˈor.mu.lɑ>id
Formula+N+Prop+Pl+Com	Formulaiguin	fˈor.mu.lɑ>i.gujn
Formula+N+Prop+Pl+Gen	Formulaid	fˈor.mu.lɑ>id
Formula+N+Prop+Pl+Ill	Formulaide	fˈor.mu.lɑ>i.de
Formula+N+Prop+Pl+Loc	Formulain	fˈor.mu.lɑ>in
Formula+N+Prop+Pl+Nom	Formulat	fˈor.mu.lɑ>h
Formula+N+Prop+Sg+Acc	Formula	fˈor.mu.lɑ>
