Aachen+N+Prop+Ess	Aachenin	ˈɑːts.he.n>in
Björninen+N+Prop+Sem/Sur+Pl+Nom	Björninenat	bjˈør.ni>.ne.nɑh
Björninen+N+Prop+Sem/Sur+Pl+Acc	Björnineniid	bjˈør.ni>.ne.nijh
Björninen+N+Prop+Sem/Sur+Pl+Gen	Björnineniid	bjˈør.ni>.ne.nijh
Björninen+N+Prop+Sem/Sur+Pl+Ill	Björnineniidda	bjˈør.ni>.ne.nijt.tɑ
Björninen+N+Prop+Sem/Sur+Pl+Loc	Björnineniin	bjˈør.ni>.ne.nijn
Björninen+N+Prop+Sem/Sur+Sg+Acc	Björninen	bjˈør.ni>.nen
Björninen+N+Prop+Sem/Sur+Sg+Acc	Björninena	bjˈør.ni>.ne.nɑ
Björninen+N+Prop+Sem/Sur+Sg+Gen	Björninena	bjˈør.ni>.ne.nɑ
Björninen+N+Prop+Sem/Sur+Sg+Ill	Björninenii	bjˈør.ni>.ne.nij
Björninen+N+Prop+Sem/Sur+Sg+Loc	Björninenis	bjˈør.ni>.ne.nis
Björninen+N+Prop+Sem/Sur+Ess	Björnisin	bjˈør.ni>.sin
Björninen+N+Prop+Sem/Sur+Pl+Nom	Björnisat	bjˈør.ni>.sɑh
Björninen+N+Prop+Sem/Sur+Pl+Acc	Björnisiid	bjˈør.ni>.sijh
Björninen+N+Prop+Sem/Sur+Pl+Com	Björnisiiguin	bjˈør.ni>.sij.gujn
Björninen+N+Prop+Sem/Sur+Pl+Gen	Björnisiid	bjˈør.ni>.sijh
Björninen+N+Prop+Sem/Sur+Pl+Ill	Björnisiidda	bjˈør.ni>.sijt.tɑ
Björninen+N+Prop+Sem/Sur+Pl+Loc	Björnisiin	bjˈør.ni>.sijn
Björninen+N+Prop+Sem/Sur+Sg+Acc	Björnisa	bjˈør.ni>.sɑ
Björninen+N+Prop+Sem/Sur+Sg+Gen	Björnisa	bjˈør.ni>.sɑ
Björninen+N+Prop+Sem/Sur+Sg+Com	Björnisiin	bjˈør.ni>.sijn
Blancornela+N+Prop+Sem/Sur+Ess	Blancornelan	blˈɑnː.n̥tsor.nˌe.lɑ>n
Blancornela+N+Prop+Sem/Sur+Pl+Acc	Blancornelaid	blˈɑnː.n̥tsor.nˌe.lɑ>id
Blancornela+N+Prop+Sem/Sur+Pl+Com	Blancornelaiguin	blˈɑnː.n̥tsor.nˌe.lɑ>i.gujn
Blancornela+N+Prop+Sem/Sur+Pl+Loc	Blancornelain	blˈɑnː.n̥tsor.nˌe.lɑ>in
Blancornela+N+Prop+Sem/Sur+Pl+Nom	Blancornelat	blˈɑnː.n̥tsor.nˌe.lɑ>h
Blancornela+N+Prop+Sem/Sur+Sg+Acc	Blancornela	blˈɑnː.n̥tsor.nˌe.lɑ>
Blancornela+N+Prop+Sem/Sur+Sg+Gen	Blancornela	blˈɑnː.n̥tsor.nˌe.lɑ>
Blancornela+N+Prop+Sem/Sur+Sg+Nom	Blancornela	blˈɑnː.n̥tsor.nˌe.lɑ>
Blancornela+N+Prop+Sem/Sur+Sg+Com	Blancornelain	blˈɑnː.n̥tsor.nˌe.lɑ>in
Blancornela+N+Prop+Sem/Sur+Sg+Ill	Blancornelai	blˈɑnː.n̥tsor.nˌe.lɑ>i
Blancornela+N+Prop+Sem/Sur+Sg+Loc	Blancornelas	blˈɑnː.n̥tsor.nˌe.lɑ>s
Braila+N+Prop+Ess	Brailan	brˈɑjː.lɑ>n
Braila+N+Prop+Sg+Acc	Braila	brˈɑjː.lɑ>
Braila+N+Prop+Sg+Com	Brailain	brˈɑjː.lɑ>in
Braila+N+Prop+Sg+Ill	Brailai	brˈɑjː.lɑ>i
Braila+N+Prop+Sg+Loc	Brailas	brˈɑjː.lɑ>s
Brunila+N+Prop+Sem/Sur+Ess	Brunilan	brˈu.ni.lɑ>n
